,DE0006202005,DE0005785802,DE000KSAG888,DE000STRA555,DE0006062144,DE000TUAG505,DE000A12DM80,DE000EVNK013,DE000LEG1110,DE0005089031,DE0006095003,DE000A161408,DE0005470405,DE000A0DJ6J9,DE000A1TNUT7,DE0006200108,DE0005232805,DE000A0WMPJ6,DE000WCH8881,DE0007165607,DE0005313704,DE0007030009,DE000A3ENQ51,DE0006766504,DE0007314007,DE000BASF111,DE000A1PHFF7,FR001400PVN6,DE0007461006,DE0005773303,DE0005158703,DE000A1TNV91,DE0006602006,DE0008232125,DE0006969603,DE0005093108,Total
2025-05-05,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-05-04,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-05-03,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-05-02,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-05-01,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-04-30,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-04-29,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-04-28,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-04-27,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
2025-04-26,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.47,0.89,0.0,6.449999999999999
