,IT0005610958,IT0005218380,FR0000184798,FR0000051732,FR0013176526,FR0000054470,FR0010411983,DE000A0TGJ55,DE000A1PHFF7,DE000TUAG505,DE0006766504,DE000KC01000,DE000A161408,DE000KSAG888,Total
2025-04-28,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,8.53,0.0,0.0,0.0,0.0,0.0,10.33
2025-04-27,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,8.53,0.0,0.0,0.0,0.0,0.0,10.33
2025-04-26,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,8.53,0.0,0.0,0.0,0.0,0.0,10.33
2025-04-25,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,8.53,0.0,0.0,0.0,0.0,0.0,10.33
2025-04-24,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,8.53,0.0,0.0,0.0,0.0,0.0,10.33
2025-04-23,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,8.92,0.0,0.0,0.0,0.0,0.0,10.72
2025-04-22,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,9.67,0.0,0.0,0.0,0.0,0.0,11.47
2025-04-21,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,9.94,0.0,0.0,0.0,0.0,0.0,11.74
2025-04-20,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,9.94,0.0,0.0,0.0,0.0,0.0,11.74
2025-04-19,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,9.94,0.0,0.0,0.0,0.0,0.0,11.74
2025-04-18,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,9.94,0.0,0.0,0.0,0.0,0.0,11.74
2025-04-17,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,9.94,0.0,0.0,0.0,0.0,0.0,11.74
2025-04-16,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,9.75,0.0,0.0,0.0,0.0,0.0,11.55
2025-04-15,0.0,0.44,0.0,0.0,0.0,0.81,0.55,0.0,10.03,0.0,0.0,0.0,0.0,0.0,11.83
2025-04-14,0.0,0.55,0.0,0.0,0.0,0.81,0.55,0.0,9.47,0.0,0.0,0.0,0.0,0.0,11.38
2025-04-13,0.0,0.55,0.0,0.0,0.0,0.81,0.55,0.0,9.82,0.0,0.0,0.0,0.0,0.0,11.73
2025-04-12,0.0,0.55,0.0,0.0,0.0,0.81,0.55,0.0,9.82,0.0,0.0,0.0,0.0,0.0,11.73
2025-04-11,0.0,0.55,0.0,0.0,0.0,0.81,0.55,0.0,9.82,0.0,0.0,0.0,0.0,0.0,11.73
2025-04-10,0.0,0.55,0.0,0.0,0.0,0.81,0.55,0.0,9.9,0.0,0.0,0.0,0.0,0.0,11.81
2025-04-09,0.0,0.79,0.0,0.0,0.0,0.81,0.55,0.0,10.47,0.0,0.0,0.0,0.0,0.0,12.620000000000001
