,IT0004053440,IT0003850929,IT0005453250,IT0005411209,IT0005482333,IT0005527616,IT0004712375,IT0005186371,IT0004729759,IT0005331019,IT0003073266,FR0000075442,FR0014005HJ9,FR0014008VX5,FR0010282822,FR0010221234,FR0013153541,FR0011950732,FR0000071946,Total
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
2025-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66
2025-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.49,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.49,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.49,0.71,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28
