,IT0005496473,IT0001469995,IT0003895668,IT0005610958,FR0010425595,FR0004056851,FR0011950732,FR0011742329,FR0013214145,FR0014008VX5,FR001400NLM4,FR0011648716,DE0005493092,DE000A2N4H07,DE000A255F11,DE0007568578,DE000A0TGJ55,DE0006450000,DE0006305006,DE000A2YN504,Total
2025-04-28,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-27,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-26,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-25,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-24,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-23,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-22,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-21,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-20,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-19,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-18,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-17,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-16,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-15,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-14,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-13,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-12,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-11,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-10,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-09,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
2025-04-08,0.85,0.0,0.0,0.5,0.0,0.88,0.0,0.0,0.0,0.59,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.6,4.619999999999999
