,FR0010221234,FR0000121964,FR0000054470,FR0000054900,FR0000120172,FR0013326246,FR0013176526,FR0000121220,FR0011981968,DE0005909006,DE000A161408,DE000FTG1111,DE000KGX8881,DE0006452907,DE000TUAG505,DE000A0TGJ55,DE000PSM7770,DE0005168108,DE000ZAL1111,DE0005439004,DE0005470405,DE000A2E4K43,DE0005785802,DE000A0WMPJ6,DE0005313704,DE0007500001,SE0023615638,Total
2025-05-05,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-05-04,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-05-03,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-05-02,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-05-01,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-04-30,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-04-29,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-04-28,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-04-27,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
2025-04-26,0.0,0.76,0.0,1.95,0.99,0.0,1.81,0.0,0.59,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,2.94,0.0,0.0,0.0,0.31,0.4,0.81,13.68
