,IT0005495657,IT0005527616,IT0005572778,IT0000076536,IT0005119810,IT0005347429,FR0014008VX5,FR0011341205,FR001400J770,FR0011184241,FR0000054470,FR001400NLM4,FR0011981968,DE000TUAG505,DE000KSAG888,DE000FTG1111,DE000A0LD6E6,DE000A0WMPJ6,DE0005493092,DE0005664809,Total
2025-05-08,0.5,0.0,0.79,0.0,0.58,0.54,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.210000000000001
2025-05-07,0.5,0.0,0.79,0.0,0.58,0.54,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.210000000000001
2025-05-06,0.49,0.0,0.79,0.0,0.58,0.54,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.199999999999999
2025-05-05,0.49,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2025-05-04,0.49,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2025-05-03,0.49,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2025-05-02,0.49,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2025-05-01,0.49,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2025-04-30,0.49,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2025-04-29,0.49,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2025-04-28,0.5,0.0,0.79,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07
