,IT0005282865,IT0000066123,IT0001157020,IT0005037210,IT0004965148,FR0013227113,FR0010220475,FR0000121147,FR0013154002,FR0000130395,FR0000054470,FR0010908533,FR0000051807,FR0004056851,FR001400J770,FR0000120693,DE000SYM9999,DE000A1EWWW0,DE000A2E4K43,DE0005664809,DE0006062144,DE0007030009,DE0007165607,DE0006969603,DE000A0D9PT0,DE0005313704,DE000A1PHFF7,DE000WCH8881,DE0006766504,DE0005470405,DE0007500001,DE000A0JL9W6,DE000A0DJ6J9,DE000A1DAHH0,DE000KGX8881,Total
2025-05-08,0.0,0.52,0.51,0.51,0.5,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.5,0.51,0.5,0.51,12.2
2025-05-07,0.0,0.52,0.51,0.51,0.5,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.5,0.51,0.5,0.51,12.2
2025-05-06,0.0,0.52,0.51,0.51,0.5,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.5,0.51,0.5,0.49,12.18
2025-05-05,0.0,0.52,0.51,0.51,0.0,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.5,0.51,0.5,0.49,11.68
2025-05-04,0.0,0.52,0.51,0.51,0.0,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.5,0.51,0.5,0.49,11.68
2025-05-03,0.0,0.52,0.51,0.51,0.0,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.5,0.51,0.5,0.49,11.68
2025-05-02,0.0,0.52,0.51,0.51,0.0,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.5,0.51,0.5,0.49,11.68
2025-05-01,0.0,0.52,0.51,0.51,0.0,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.49,0.51,0.5,0.49,11.67
2025-04-30,0.0,0.52,0.51,0.51,0.0,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.49,0.51,0.5,0.49,11.67
2025-04-29,0.0,0.52,0.51,0.51,0.0,0.54,0.0,0.5,0.0,0.0,1.99,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.73,0.89,0.59,0.51,0.0,0.49,0.51,0.5,0.49,11.67
