,IT0000066123,IT0005495657,IT0005508921,IT0005218380,IT0003497168,NL0015000LU4,IT0004176001,FR0013506730,FR0010386334,FR001400J770,FR0014008VX5,FR0000120404,FR001400PVN6,FR0000131906,FR0000121147,DE000FTG1111,DE000LEG1110,DE0006062144,DE0005470405,DE0008303504,DE000KSAG888,DE000ENER6Y0,DE000A0LD6E6,DE0007030009,DE0008232125,DE000BAY0017,DE000A1PHFF7,DE000TUAG505,DE0005664809,DE000A0D9PT0,Total
2025-05-08,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.0,5.92
2025-05-07,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.0,5.92
2025-05-06,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.0,5.92
2025-05-05,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.0,5.92
2025-05-04,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.0,5.92
2025-05-03,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.0,5.92
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.37
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.37
2025-04-30,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.819999999999999
2025-04-29,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.819999999999999
2025-04-28,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.819999999999999
2025-04-27,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.819999999999999
2025-04-26,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.819999999999999
2025-04-25,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.45,6.819999999999999
2025-04-24,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.56,0.0,0.59,6.959999999999999
2025-04-23,0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.029999999999999
2025-04-22,0.0,0.61,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.1899999999999995
2025-04-21,0.0,0.61,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.1899999999999995
2025-04-20,0.0,0.61,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.1899999999999995
2025-04-19,0.0,0.61,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.1899999999999995
2025-04-18,0.0,0.61,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.1899999999999995
2025-04-17,0.0,0.61,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.1899999999999995
2025-04-16,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.509999999999999
2025-04-15,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.509999999999999
2025-04-14,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.509999999999999
2025-04-13,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.6,7.519999999999999
2025-04-12,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.6,7.519999999999999
2025-04-11,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.6,7.519999999999999
2025-04-10,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.6,7.519999999999999
2025-04-09,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.23,0.7,0.67,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.509999999999999
2025-04-08,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.1,0.7,0.52,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,7.13
2025-04-07,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,1.1,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,6.609999999999999
2025-04-06,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,0.93,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,5.9399999999999995
2025-04-05,0.0,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.87,0.0,0.0,0.93,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,5.9399999999999995
2025-04-04,0.0,0.84,0.0,0.0,0.49,0.54,0.0,0.0,0.0,0.87,0.0,0.0,0.93,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,6.43
2025-04-03,0.0,0.84,0.0,0.0,0.49,0.54,0.0,0.0,0.0,0.9,0.0,0.0,0.93,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,6.45
2025-04-02,0.0,0.84,0.0,0.0,0.49,0.54,0.0,0.0,0.0,0.9,0.0,0.0,0.93,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.6,6.46
2025-04-01,0.0,0.84,0.0,0.0,0.49,0.54,0.0,0.0,0.0,0.9,0.0,0.0,0.93,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.6,6.46
2025-03-31,0.0,0.84,0.0,0.0,0.49,0.49,0.0,0.0,0.0,0.89,0.0,0.47,0.93,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,6.8599999999999985
2025-03-30,0.0,0.84,0.0,0.0,0.49,0.49,0.0,0.0,0.0,0.89,0.0,0.47,0.93,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,6.8599999999999985
2025-03-29,0.0,0.84,0.0,0.0,0.49,0.49,0.0,0.0,0.0,0.89,0.0,0.47,0.93,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.63,0.0,0.59,6.8599999999999985
