,IT0005495657,FR0010220475,FR0000121147,FR0000130395,DE000FTG1111,DE000A161408,DE000A2YN900,DE000A0D6554,DE000A0LD6E6,DE000ZAL1111,DE000TUAG505,DE0008303504,DE0005664809,DE0007500001,DE000A1PHFF7,DE0005470405,DE0005313704,DE000A0WMPJ6,Total
2025-05-08,0.0,0.0,1.04,0.6,0.0,1.08,0.0,0.5,0.69,0.0,0.0,0.0,1.22,0.0,0.58,0.5,0.5,0.49,7.2
2025-05-07,0.0,0.0,1.04,0.6,0.0,1.08,0.0,0.5,0.69,0.0,0.0,0.0,1.22,0.0,0.58,0.5,0.5,0.49,7.2
2025-05-06,0.0,0.0,1.04,0.6,0.0,1.08,0.0,0.5,0.69,0.0,0.0,0.0,1.22,0.0,0.58,0.5,0.5,0.49,7.2
2025-05-05,0.0,0.0,1.04,0.6,0.0,1.23,0.0,0.5,0.69,0.0,0.0,0.0,1.22,0.0,0.58,0.5,0.5,0.5,7.36
2025-05-04,0.0,0.0,1.04,0.6,0.0,1.23,0.0,0.5,0.69,0.0,0.0,0.0,1.22,0.0,0.58,0.5,0.5,0.5,7.36
2025-05-03,0.0,0.0,1.04,0.6,0.0,1.23,0.0,0.5,0.69,0.0,0.0,0.0,1.22,0.0,0.58,0.5,0.5,0.5,7.36
2025-05-02,0.0,0.0,1.04,0.6,0.0,1.23,0.0,0.5,0.69,0.0,0.0,0.0,1.22,0.0,0.58,0.5,0.5,0.5,7.36
2025-05-01,0.0,0.0,1.04,0.6,0.0,1.43,0.0,0.5,0.69,0.0,0.0,0.0,1.38,0.0,0.58,0.5,0.5,0.5,7.72
2025-04-30,0.0,0.0,1.04,0.6,0.0,1.43,0.0,0.5,0.69,0.0,0.0,0.0,1.38,0.0,0.58,0.5,0.5,0.5,7.72
2025-04-29,0.0,0.0,1.04,0.6,0.0,1.43,0.0,0.5,0.69,0.0,0.0,0.0,1.38,0.0,0.62,0.5,0.5,0.5,7.76
