,IT0004056880,IT0005211237,IT0003242622,IT0001233417,IT0000072170,IT0003492391,IT0001250932,IT0003153415,IT0000066123,IT0001157020,FR0010451203,FR0013176526,FR0011950732,FR0010220475,FR0000130692,FR0000044448,FR0014008VX5,FR0000121204,FR0000184798,FR0013214145,NL0015001W49,FR0000064578,FR0010112524,FR0011981968,FR001400PVN6,FR0000121964,FR0000130395,FR0010722819,FR0011675362,FR0000127771,FR001400J770,FR0013280286,FR0000035081,FR0000121709,FR0004056851,FR0000121147,Total
2025-05-08,0.5,0.59,0.0,0.59,0.0,0.88,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.42
2025-05-07,0.5,0.59,0.0,0.59,0.0,0.88,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.42
2025-05-06,0.5,0.59,0.0,0.59,0.0,0.88,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.42
2025-05-05,0.5,0.59,0.0,0.47,0.0,0.9,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.32
2025-05-04,0.5,0.59,0.0,0.47,0.0,0.87,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.29
2025-05-03,0.5,0.59,0.0,0.47,0.0,0.87,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.29
2025-05-02,0.5,0.59,0.0,0.47,0.0,0.87,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.29
2025-05-01,0.5,0.59,0.0,0.47,0.0,0.87,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.29
2025-04-30,0.5,0.59,0.0,0.47,0.0,0.87,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.29
2025-04-29,0.5,0.59,0.0,0.47,0.0,0.87,0.59,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.279999999999999
2025-04-28,0.5,0.59,0.0,0.47,0.0,0.87,0.6,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.29
2025-04-27,0.5,0.59,0.0,0.59,0.0,0.87,0.59,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.3999999999999995
2025-04-26,0.5,0.59,0.0,0.59,0.0,0.87,0.59,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.3999999999999995
2025-04-25,0.5,0.59,0.0,0.59,0.0,0.87,0.59,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.3999999999999995
2025-04-24,0.5,0.59,0.0,0.59,0.0,0.87,0.59,0.0,0.52,0.57,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.3999999999999995
2025-04-23,0.5,0.59,0.0,0.59,0.0,0.87,0.59,0.0,0.52,0.6,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.43
2025-04-22,0.5,0.59,0.0,0.59,0.0,0.87,0.59,0.0,0.52,0.6,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,6.43
