,IT0005495657,IT0004810054,IT0005527616,FR0000054470,FR001400J770,FR0000130809,FR0000127771,FR0000121485,FR0004056851,FR0013227113,FR0000121147,FR0013176526,FR0010220475,DE000ZAL1111,DE000A2E4K43,DE000A0D6554,DE000KSAG888,DE0007235301,DE000A1PHFF7,DE000BAY0017,DE000A161408,DE0005664809,DE0008232125,DE000A1K0235,DE0007030009,DE000TUAG505,DE0006969603,DE0007500001,DE000A0WMPJ6,DE000A0DJ6J9,DE000A0LD6E6,Total
2025-05-05,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-05-04,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-05-03,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-05-02,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-05-01,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-30,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-29,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-28,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-27,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-26,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-25,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-24,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-23,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.7,0.98,0.0,0.59,0.0,0.0,1.25,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.5,18.559999999999995
2025-04-22,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.15,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.49,0.0,17.959999999999994
2025-04-21,1.39,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.53,0.0,17.929999999999996
2025-04-20,1.39,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.53,0.0,17.929999999999996
2025-04-19,1.39,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.53,0.0,17.929999999999996
2025-04-18,1.39,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.53,0.0,17.929999999999996
2025-04-17,1.39,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.86,0.8,0.49,0.53,0.0,17.929999999999996
2025-04-16,1.4,0.59,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.91,0.79,0.5,0.53,0.0,17.99
2025-04-15,1.4,0.6,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.91,0.82,0.5,0.53,0.0,18.03
2025-04-14,1.4,0.6,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.31,0.91,0.82,0.5,0.53,0.0,18.05
2025-04-13,1.31,0.6,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.31,0.91,0.82,0.5,0.53,0.0,17.96
2025-04-12,1.31,0.6,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.31,0.91,0.82,0.5,0.53,0.0,17.96
2025-04-11,1.31,0.6,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.31,0.91,0.82,0.5,0.53,0.0,17.96
2025-04-10,1.31,0.6,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.29,0.91,0.82,0.5,0.0,0.0,17.41
2025-04-09,1.31,0.6,0.61,1.21,0.0,0.0,0.8,0.9,0.59,0.0,1.3,0.74,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.09,0.66,0.45,0.58,0.28,1.36,0.91,0.82,0.5,0.0,0.0,17.479999999999997
2025-04-08,1.24,0.6,0.61,1.21,0.0,0.0,0.71,0.81,0.59,0.0,1.3,0.66,0.5,0.0,0.69,0.98,0.0,0.6,0.0,0.0,1.17,0.66,0.45,0.58,0.28,1.36,0.87,0.82,0.5,0.0,0.0,17.189999999999998
2025-04-07,1.16,0.6,0.51,1.12,0.0,0.0,0.71,0.81,0.6,0.0,1.3,0.66,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.17,0.66,0.45,0.58,0.28,1.36,0.87,0.82,0.5,0.0,0.0,16.749999999999996
2025-04-06,1.02,0.6,0.51,1.12,0.0,0.0,0.71,0.81,0.6,0.0,1.2,0.59,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.25,0.66,0.45,0.58,0.28,1.36,0.7,0.92,0.5,0.0,0.0,16.449999999999996
2025-04-05,1.02,0.6,0.51,1.12,0.0,0.0,0.71,0.81,0.6,0.0,1.2,0.59,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.25,0.66,0.45,0.58,0.28,1.36,0.7,0.92,0.5,0.0,0.0,16.449999999999996
2025-04-04,1.02,0.6,0.51,1.12,0.0,0.0,0.71,0.81,0.6,0.0,1.2,0.59,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.25,0.66,0.45,0.58,0.28,1.36,0.7,0.92,0.5,0.0,0.0,16.449999999999996
2025-04-03,0.87,0.6,0.51,1.12,0.0,0.0,0.71,0.81,0.6,0.0,1.1,0.6,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.36,0.66,0.45,0.58,0.28,1.28,0.7,1.03,0.49,0.0,0.0,16.339999999999996
2025-04-02,0.7,0.6,0.51,1.12,0.0,0.0,0.71,0.81,0.6,0.0,1.1,0.51,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.47,0.66,0.45,0.69,0.28,1.28,0.7,1.03,0.49,0.0,0.0,16.299999999999994
2025-04-01,0.7,0.59,0.51,1.12,0.0,0.0,0.71,0.81,0.6,0.0,1.1,0.51,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.47,0.66,0.45,0.69,0.28,1.28,0.7,1.03,0.58,0.0,0.0,16.379999999999995
2025-03-31,0.7,0.6,0.51,1.0,0.0,0.0,0.71,0.81,0.6,0.0,1.09,0.51,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.57,0.66,0.45,0.69,0.5,1.32,0.7,0.99,0.58,0.0,0.0,16.58
2025-03-30,0.7,0.6,0.51,1.0,0.0,0.0,0.71,0.81,0.6,0.0,1.09,0.51,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.57,0.66,0.45,0.69,0.88,1.28,0.7,0.99,0.58,0.0,0.0,16.919999999999995
2025-03-29,0.7,0.6,0.51,1.0,0.0,0.0,0.71,0.81,0.6,0.0,1.09,0.51,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.57,0.66,0.45,0.69,0.88,1.28,0.7,0.99,0.58,0.0,0.0,16.919999999999995
2025-03-28,0.7,0.6,0.51,1.0,0.0,0.0,0.71,0.81,0.6,0.0,1.09,0.51,0.0,0.0,0.69,0.98,0.0,0.53,0.39,0.0,1.57,0.66,0.45,0.69,0.88,1.28,0.7,0.99,0.58,0.0,0.0,16.919999999999995
2025-03-27,0.7,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.0,1.09,0.51,0.0,0.0,0.7,0.98,0.0,0.53,0.39,0.0,1.65,0.66,0.45,0.69,0.88,1.28,0.7,0.99,0.58,0.0,0.0,16.4
2025-03-26,0.7,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.48,1.09,0.51,0.0,0.0,0.7,0.98,0.0,0.53,0.39,0.0,1.65,0.66,0.45,0.69,0.88,1.28,0.7,0.99,0.58,0.0,0.0,16.879999999999995
2025-03-25,0.69,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.59,0.48,1.09,0.48,0.0,0.0,0.7,0.98,0.0,0.53,0.39,0.0,1.65,0.66,0.45,0.69,0.88,1.28,0.7,0.99,0.58,0.0,0.0,16.829999999999995
2025-03-24,0.69,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.59,0.48,1.09,0.51,0.0,0.0,0.68,0.98,0.0,0.53,0.39,0.0,1.79,0.66,0.45,0.69,0.88,1.28,0.7,1.0,0.68,0.0,0.0,17.089999999999996
2025-03-23,0.69,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.0,0.0,0.0,0.68,0.98,0.0,0.53,0.39,0.49,1.79,0.66,0.45,0.69,0.88,1.28,0.7,1.0,0.68,0.0,0.0,17.189999999999998
2025-03-22,0.69,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.0,0.0,0.0,0.68,0.98,0.0,0.53,0.39,0.49,1.79,0.66,0.45,0.69,0.88,1.28,0.7,1.0,0.68,0.0,0.0,17.189999999999998
2025-03-21,0.69,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.47,0.0,0.0,0.68,0.98,0.0,0.53,0.39,0.49,1.79,0.66,0.45,0.69,0.88,1.28,0.7,1.0,0.68,0.0,0.0,17.659999999999997
2025-03-20,0.69,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.47,0.0,0.0,0.68,0.98,0.0,0.53,0.39,0.49,1.8,0.66,0.45,0.69,0.88,1.28,0.7,1.0,0.68,0.0,0.0,17.669999999999998
2025-03-19,0.77,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.47,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.79,0.66,0.45,0.7,0.91,1.28,0.7,1.0,0.68,0.0,0.0,17.25
2025-03-18,0.77,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.79,0.66,0.45,0.7,0.81,1.28,0.7,0.91,0.68,0.0,0.0,17.089999999999996
2025-03-17,0.77,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.79,0.66,0.45,0.7,0.81,1.28,0.7,0.91,0.68,0.0,0.0,17.089999999999996
2025-03-16,0.77,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.79,0.66,0.45,0.7,0.74,1.31,0.7,0.91,0.68,0.0,0.0,17.049999999999997
2025-03-15,0.77,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.79,0.66,0.45,0.7,0.74,1.31,0.7,0.91,0.68,0.0,0.0,17.049999999999997
2025-03-14,0.77,0.5,0.0,1.0,0.0,0.0,0.71,0.81,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.79,0.66,0.45,0.7,0.74,1.31,0.7,0.91,0.68,0.0,0.0,17.049999999999997
2025-03-13,0.77,0.5,0.0,1.0,0.0,0.0,0.71,0.78,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.8,0.66,0.45,0.7,0.64,1.31,0.7,0.91,0.7,0.0,0.0,16.95
2025-03-12,0.87,0.5,0.0,1.0,0.0,0.0,0.71,0.78,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.73,0.66,0.45,0.7,0.58,1.31,0.66,0.91,0.7,0.0,0.0,16.88
2025-03-11,0.87,0.5,0.0,1.0,0.0,0.0,0.71,0.78,0.6,0.59,1.09,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.51,0.66,0.45,0.69,0.58,1.31,0.66,0.91,0.7,0.0,0.0,16.65
2025-03-10,0.87,0.5,0.0,1.0,0.0,0.0,0.71,0.78,0.6,0.59,1.09,0.48,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.31,0.66,0.45,0.69,0.79,1.31,0.66,0.91,0.7,0.0,0.0,16.64
2025-03-09,0.96,0.5,0.0,1.0,0.0,0.0,0.68,0.78,0.6,0.59,1.1,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.2,0.66,0.45,0.69,0.86,1.31,0.76,0.91,0.7,0.0,0.0,16.789999999999996
2025-03-08,0.96,0.5,0.0,1.0,0.0,0.0,0.68,0.78,0.6,0.59,1.1,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.2,0.66,0.45,0.69,0.86,1.31,0.76,0.91,0.7,0.0,0.0,16.789999999999996
2025-03-07,0.96,0.5,0.0,1.0,0.0,0.0,0.68,0.78,0.6,0.59,1.1,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.2,0.66,0.45,0.69,0.86,1.31,0.76,0.91,0.7,0.0,0.0,16.789999999999996
2025-03-06,0.96,0.5,0.0,1.0,0.0,0.0,0.68,0.78,0.6,0.59,1.1,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.2,0.66,0.45,0.69,0.86,1.31,0.76,0.91,0.7,0.0,0.0,16.789999999999996
2025-03-05,0.96,0.5,0.0,1.0,0.0,0.0,0.68,0.78,0.6,0.59,1.1,0.5,0.0,0.0,0.68,0.98,0.0,0.0,0.39,0.49,1.2,0.7,0.45,0.69,0.86,1.31,0.76,0.8,0.7,0.0,0.0,16.719999999999995
2025-03-04,0.96,0.5,0.0,1.0,0.0,0.0,0.7,0.78,0.6,0.59,1.06,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.39,0.49,1.2,0.6,0.52,0.69,0.78,1.31,0.8,0.66,0.64,0.0,0.0,15.95
2025-03-03,1.0,0.5,0.0,1.0,0.0,0.0,0.7,0.78,0.6,0.6,0.87,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.39,0.49,1.2,0.6,0.48,0.69,0.62,1.31,0.71,0.66,0.64,0.0,0.0,15.52
2025-03-02,0.99,0.5,0.0,1.0,0.0,0.0,0.6,0.78,0.6,0.6,0.74,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.39,0.49,1.2,0.6,0.48,0.69,0.53,1.31,0.71,0.51,0.64,0.0,0.0,15.039999999999997
2025-03-01,0.99,0.5,0.0,1.0,0.0,0.0,0.6,0.78,0.6,0.6,0.74,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.39,0.49,1.2,0.6,0.48,0.69,0.53,1.31,0.71,0.51,0.64,0.0,0.0,15.039999999999997
2025-02-28,0.99,0.5,0.0,1.0,0.0,0.0,0.6,0.78,0.6,0.6,0.74,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.39,0.49,1.2,0.6,0.48,0.69,0.53,1.31,0.71,0.51,0.64,0.0,0.0,15.039999999999997
2025-02-27,1.03,0.5,0.0,1.0,0.0,0.0,0.6,0.78,0.6,0.6,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.39,0.49,1.2,0.6,0.48,0.79,0.53,1.27,0.71,0.51,0.54,0.0,0.0,14.319999999999997
2025-02-26,1.03,0.5,0.0,1.0,0.0,0.0,0.6,0.78,0.6,0.6,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.39,0.49,1.13,0.6,0.48,0.79,0.43,1.27,0.71,0.51,0.0,0.0,0.0,13.610000000000001
2025-02-25,0.98,0.5,0.0,1.0,0.0,0.0,0.6,0.78,0.6,0.6,0.0,0.0,0.0,0.0,0.7,0.99,0.0,0.0,0.39,0.49,1.13,0.6,0.55,0.79,0.43,1.27,0.71,0.51,0.0,0.0,0.0,13.62
