,549300DCU7KOL83B3B08,549300KKLDTNOIW0NU52,549300SHI4D0QGWI8X45,6BS8JLEICI3VGJ264L55,549300ARVD4LVNCUBN81,549300XXZKX7UGH6E231,54930030NRYV5EVS2N02,-077-,549300GHZ48Y72I6HZ24,213800R9V4YAT2TH3762,5493003FS3JD468P6Z37,549300X1IL2SQS14P736,549300DCQS14SYSPPR61,549300IL8TQT0JMDJJ80,549300RHSQCH106OWF77,549300RYJEP013YME360,549300GC5MDF1KXYMP06,549300LPS48DJ96NXT15,-066-,Total,Market_capitalization
2025-05-08,0.0,0.0,0.0,1.22,0.0,0.0,3.02,0.48,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.38,2210000000.0
2025-05-07,0.0,0.0,0.0,1.22,0.0,0.0,3.02,0.48,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.38,2210000000.0
2025-05-06,0.0,0.0,0.0,1.22,0.0,0.0,3.02,0.48,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.38,2210000000.0
2025-05-05,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.48,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.349999999999999,2210000000.0
2025-05-04,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.48,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.349999999999999,2210000000.0
2025-05-03,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.48,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.349999999999999,2210000000.0
2025-05-02,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.48,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.349999999999999,2210000000.0
2025-05-01,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.59,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.459999999999999,2210000000.0
2025-04-30,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.59,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.459999999999999,2210000000.0
2025-04-29,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.59,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.459999999999999,2210000000.0
2025-04-28,0.0,0.0,0.0,1.19,0.0,0.0,3.02,0.59,0.0,0.0,0.0,0.5,0.0,0.0,0.55,0.0,0.51,0.5,0.6,7.459999999999999,2210000000.0
