,549300DCU7KOL83B3B08,70DNWEAINTGFO4DMV441,LO3UDTZUG0RICVPFGQ53,549300GC5MDF1KXYMP06,6BS8JLEICI3VGJ264L55,549300LPS48DJ96NXT15,549300SHI4D0QGWI8X45,549300ARVD4LVNCUBN81,549300CNWH54BTXURM94,549300XXZKX7UGH6E231,549300WBD0DQZRTLVD96,MQILSVGGL6RJH5NDWP11,TNWE6LERP1CI9IDAZB80,549300KKLDTNOIW0NU52,549300EJ1ZB4YYIOMD56,Total,Market_capitalization
2025-05-08,2.38,0.0,0.0,0.0,0.0,1.22,0.0,0.58,0.0,0.58,0.59,0.0,0.66,0.51,0.5,7.02,1310000000.0
2025-05-07,2.38,0.0,0.0,0.0,0.0,1.22,0.0,0.58,0.0,0.58,0.59,0.0,0.66,0.51,0.5,7.02,1310000000.0
2025-05-06,2.38,0.0,0.0,0.0,0.0,1.22,0.0,0.58,0.0,0.58,0.59,0.0,0.66,0.51,0.5,7.02,1310000000.0
2025-05-05,2.38,0.0,0.0,0.0,0.0,1.22,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.609999999999999,1310000000.0
2025-05-04,2.38,0.0,0.0,0.0,0.0,1.22,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.609999999999999,1310000000.0
2025-05-03,2.38,0.0,0.0,0.0,0.0,1.22,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.609999999999999,1310000000.0
2025-05-02,2.38,0.0,0.0,0.0,0.0,1.22,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.609999999999999,1310000000.0
2025-05-01,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-30,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-29,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-28,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-27,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-26,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-25,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-24,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.67,0.59,0.0,0.66,0.51,0.0,6.77,1310000000.0
2025-04-23,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-22,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-21,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-20,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-19,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-18,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-17,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-16,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-15,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-14,2.38,0.0,0.0,0.0,0.0,1.38,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,6.8,1310000000.0
2025-04-13,2.38,0.0,1.19,0.0,0.0,1.49,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,8.1,1310000000.0
2025-04-12,2.38,0.0,1.19,0.0,0.0,1.49,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,8.1,1310000000.0
2025-04-11,2.38,0.0,1.19,0.0,0.0,1.49,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,8.1,1310000000.0
2025-04-10,2.38,0.0,1.19,0.0,0.0,1.49,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,8.1,1310000000.0
2025-04-09,2.38,0.0,1.19,0.0,0.0,1.49,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,8.1,1310000000.0
2025-04-08,2.38,0.0,1.19,0.0,0.0,1.49,0.0,0.58,0.0,0.7,0.59,0.0,0.66,0.51,0.0,8.1,1310000000.0
