,549300DCU7KOL83B3B08,6BS8JLEICI3VGJ264L55,549300SHI4D0QGWI8X45,-096-,-077-,549300GC5MDF1KXYMP06,635400IAV22ZOU1NFS89,549300UV4DM2KIBBQ741,549300ARVD4LVNCUBN81,-031-,Total,Market_capitalization
2025-05-05,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.69,0.52,1.69,3350000000.0
2025-05-04,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.69,0.52,1.69,3350000000.0
2025-05-03,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.69,0.52,1.69,3350000000.0
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.69,0.52,1.69,3350000000.0
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.69,0.52,1.69,3350000000.0
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.69,0.52,1.69,3350000000.0
2025-04-29,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.69,0.52,1.69,3350000000.0
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.69,0.52,1.9,3350000000.0
2025-04-27,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.69,0.52,1.9,3350000000.0
2025-04-26,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.69,0.52,1.9,3350000000.0
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.69,0.52,1.9,3350000000.0
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.69,0.52,1.9,3350000000.0
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.69,0.52,1.9,3350000000.0
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.69,0.52,1.9,3350000000.0
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
2025-04-20,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
2025-04-19,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.72,0.52,1.93,3350000000.0
