,549300SHI4D0QGWI8X45,549300DCU7KOL83B3B08,549300ARVD4LVNCUBN81,549300LPS48DJ96NXT15,6BS8JLEICI3VGJ264L55,54930030NRYV5EVS2N02,549300GC5MDF1KXYMP06,TNWE6LERP1CI9IDAZB80,Total,Market_capitalization
2025-05-08,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.69,3.83,6020000000.0
2025-05-07,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.69,3.83,6020000000.0
2025-05-06,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.69,3.83,6020000000.0
2025-05-05,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-05-04,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-05-03,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-05-02,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-05-01,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-04-30,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-04-29,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-04-28,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-04-27,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-04-26,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-04-25,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.79,3.93,6020000000.0
2025-04-24,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.79,3.8,6020000000.0
2025-04-23,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.8,3.8099999999999996,6020000000.0
2025-04-22,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.8,3.8099999999999996,6020000000.0
2025-04-21,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.8,3.8099999999999996,6020000000.0
2025-04-20,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.8,3.8099999999999996,6020000000.0
2025-04-19,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.8,3.8099999999999996,6020000000.0
2025-04-18,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.8,3.8099999999999996,6020000000.0
2025-04-17,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.8,3.8099999999999996,6020000000.0
2025-04-16,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.79,3.8,6020000000.0
2025-04-15,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.82,3.8299999999999996,6020000000.0
2025-04-14,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.82,3.81,6020000000.0
2025-04-13,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.82,3.81,6020000000.0
2025-04-12,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.82,3.81,6020000000.0
2025-04-11,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.82,3.81,6020000000.0
2025-04-10,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.82,3.86,6020000000.0
2025-04-09,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.82,3.75,6020000000.0
2025-04-08,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.82,3.75,6020000000.0
2025-04-07,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.82,3.75,6020000000.0
2025-04-06,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.92,3.85,6020000000.0
2025-04-05,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.92,3.85,6020000000.0
2025-04-04,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.92,3.85,6020000000.0
2025-04-03,0.0,0.0,0.0,0.0,2.93,0.0,0.0,1.03,3.96,6020000000.0
2025-04-02,0.0,0.0,0.0,0.0,2.93,0.0,0.0,1.03,3.96,6020000000.0
2025-04-01,0.0,0.0,0.0,0.0,2.93,0.0,0.0,1.03,3.96,6020000000.0
2025-03-31,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.99,3.8,6020000000.0
2025-03-30,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.99,3.8,6020000000.0
2025-03-29,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.99,3.8,6020000000.0
