,549300SHI4D0QGWI8X45,549300RK1FB0VMTPD087,6BS8JLEICI3VGJ264L55,549300KKLDTNOIW0NU52,TIJEY45X097ZK7UNQS80,549300DCU7KOL83B3B08,549300ARVD4LVNCUBN81,549300LPS48DJ96NXT15,IEY25V8W6D7HRX2LB395,Total,Market_capitalization
2025-04-28,0.0,0.0,0.99,0.6,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,2470000000.0
2025-04-27,0.0,0.0,0.99,0.6,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,2470000000.0
2025-04-26,0.0,0.0,0.99,0.6,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,2470000000.0
2025-04-25,0.0,0.0,0.99,0.6,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,2470000000.0
2025-04-24,0.0,0.0,0.99,0.6,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,2470000000.0
2025-04-23,0.0,0.0,0.99,0.6,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,2470000000.0
2025-04-22,0.0,0.0,0.99,0.6,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,2470000000.0
2025-04-21,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,2470000000.0
2025-04-20,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,2470000000.0
2025-04-19,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,2470000000.0
2025-04-18,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,2470000000.0
2025-04-17,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,2470000000.0
2025-04-16,0.0,0.0,0.91,0.6,0.0,0.0,0.0,0.0,0.0,1.51,2470000000.0
2025-04-15,0.0,0.0,0.91,0.6,0.0,0.0,0.0,0.0,0.0,1.51,2470000000.0
2025-04-14,0.0,0.0,0.91,0.6,0.0,0.0,0.0,0.0,0.0,1.51,2470000000.0
2025-04-13,0.0,0.0,0.91,0.6,0.0,0.0,0.0,0.0,0.0,1.51,2470000000.0
2025-04-12,0.0,0.0,0.91,0.6,0.0,0.0,0.0,0.0,0.0,1.51,2470000000.0
2025-04-11,0.0,0.0,0.91,0.6,0.0,0.0,0.0,0.0,0.0,1.51,2470000000.0
2025-04-10,0.0,0.0,0.91,0.6,0.0,0.0,0.0,0.0,0.0,1.51,2470000000.0
