,549300DCU7KOL83B3B08,LO3UDTZUG0RICVPFGQ53,549300LPS48DJ96NXT15,549300SHI4D0QGWI8X45,6BS8JLEICI3VGJ264L55,SK6WG1E6ZYO1H0HHS346,TNWE6LERP1CI9IDAZB80,5493003FS3JD468P6Z37,549300XXZKX7UGH6E231,549300C4RWHVOOSD9T96,-066-,213800RUT3C1PCHUQP60,254900NVOXJ6FJSRZV47,ZKNTRMKPV369G3GYL686,549300RHSQCH106OWF77,213800YQHG6V3VDDRN10,70DNWEAINTGFO4DMV441,TIJEY45X097ZK7UNQS80,549300GHZ48Y72I6HZ24,213800B4PLJI84A5MF35,Total,Market_capitalization
2025-05-08,0.68,0.0,0.5,0.52,0.59,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.7299999999999995,3760000000.0
2025-05-07,0.68,0.0,0.5,0.52,0.59,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.7299999999999995,3760000000.0
2025-05-06,0.68,0.0,0.5,0.52,0.59,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.7299999999999995,3760000000.0
2025-05-05,0.68,0.0,0.5,0.52,0.59,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.7299999999999995,3760000000.0
2025-05-04,0.68,0.0,0.5,0.52,0.59,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.7299999999999995,3760000000.0
2025-05-03,0.68,0.0,0.5,0.52,0.59,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.7299999999999995,3760000000.0
2025-05-02,0.68,0.0,0.5,0.52,0.48,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.62,3760000000.0
2025-05-01,0.68,0.0,0.5,0.51,0.48,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.609999999999999,3760000000.0
2025-04-30,0.68,0.0,0.5,0.51,0.48,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.609999999999999,3760000000.0
2025-04-29,0.68,0.0,0.5,0.51,0.48,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.609999999999999,3760000000.0
2025-04-28,0.68,0.0,0.5,0.51,0.48,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.609999999999999,3760000000.0
2025-04-27,0.68,0.0,0.5,0.51,0.48,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,0.58,5.609999999999999,3760000000.0
