,54930030NRYV5EVS2N02,549300SHI4D0QGWI8X45,549300DCU7KOL83B3B08,5493003FS3JD468P6Z37,549300LPS48DJ96NXT15,LO3UDTZUG0RICVPFGQ53,2138001GBION41P49M96,70DNWEAINTGFO4DMV441,213800SFSQPS3XKC4E48,549300MAWC0XRT4T3W74,6BS8JLEICI3VGJ264L55,213800LW6586WAWHGO96,549300GBUIYIH2F2T107,-077-,213800DTEB6NWEO6E777,2138005EXQDVICS9O155,549300ARVD4LVNCUBN81,549300DCQS14SYSPPR61,2138006AZELNYKR3A325,213800B4PLJI84A5MF35,549300WTVI4KO4GEJN54,-080-,549300X1IL2SQS14P736,549300XXZKX7UGH6E231,549300CNWH54BTXURM94,MLH7B1BVFWXZVST01715,-096-,TNWE6LERP1CI9IDAZB80,549300G4GEZ3XA3HPV97,549300A6QDHQKENHMS92,Total,Market_capitalization
2025-05-08,2.09,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.84,0.58,0.5,11.780000000000001,1380000000.0
2025-05-07,2.09,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.84,0.58,0.5,11.780000000000001,1380000000.0
2025-05-06,2.09,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.84,0.58,0.5,11.780000000000001,1380000000.0
2025-05-05,2.09,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.74,0.58,0.5,11.83,1380000000.0
2025-05-04,2.09,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.6,0.58,0.5,11.69,1380000000.0
2025-05-03,2.09,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.6,0.58,0.5,11.69,1380000000.0
2025-05-02,2.09,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.6,0.58,0.5,11.69,1380000000.0
2025-05-01,2.09,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.6,0.58,0.5,11.889999999999999,1380000000.0
2025-04-30,2.09,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.6,0.58,0.5,11.889999999999999,1380000000.0
2025-04-29,2.09,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.6,0.58,0.49,11.879999999999999,1380000000.0
2025-04-28,2.09,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.56,0.58,0.49,11.969999999999999,1380000000.0
2025-04-27,2.09,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.46,0.58,0.49,11.75,1380000000.0
2025-04-26,2.09,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.46,0.58,0.49,11.75,1380000000.0
2025-04-25,2.09,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.46,0.58,0.49,11.75,1380000000.0
2025-04-24,2.09,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.39,0.58,0.49,11.68,1380000000.0
2025-04-23,2.09,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.25,0.58,0.49,11.54,1380000000.0
2025-04-22,2.09,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.59,0.86,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.15,0.58,0.49,11.6,1380000000.0
