,5493003FS3JD468P6Z37,549300SHI4D0QGWI8X45,-096-,549300ARVD4LVNCUBN81,549300RHSQCH106OWF77,549300DCU7KOL83B3B08,213800SFSQPS3XKC4E48,TNWE6LERP1CI9IDAZB80,549300GC5MDF1KXYMP06,2138006AZELNYKR3A325,-077-,549300X1IL2SQS14P736,549300KKLDTNOIW0NU52,549300LPS48DJ96NXT15,549300WTVI4KO4GEJN54,549300A1ZLHM70N6U553,5493006XRZFHF1KWTY04,549300WBD0DQZRTLVD96,6BS8JLEICI3VGJ264L55,635400IAV22ZOU1NFS89,549300GK9KWVQKHQ5S16,549300GHZ48Y72I6HZ24,Total,Market_capitalization
2025-05-08,0.0,0.65,6.88,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.56,0.52,0.0,0.58,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.5,12.84,2470000000.0
2025-05-07,0.0,0.65,6.88,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.56,0.52,0.0,0.58,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.5,12.84,2470000000.0
2025-05-06,0.0,0.65,6.88,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.56,0.52,0.0,0.58,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.5,12.84,2470000000.0
2025-05-05,0.0,0.5,8.35,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.56,0.68,0.0,0.58,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,13.920000000000002,2470000000.0
2025-05-04,0.0,0.5,7.88,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.38,0.68,0.0,0.58,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,13.27,2470000000.0
2025-05-03,0.0,0.5,7.88,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.38,0.68,0.0,0.58,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,13.27,2470000000.0
2025-05-02,0.0,0.5,7.88,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.38,0.68,0.0,0.58,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,13.27,2470000000.0
2025-05-01,0.0,0.5,8.46,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.38,0.68,0.0,0.58,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,14.06,2470000000.0
2025-04-30,0.0,0.5,8.46,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.38,0.68,0.0,0.58,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,14.06,2470000000.0
2025-04-29,0.0,0.5,8.33,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.38,0.68,0.0,0.62,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,13.97,2470000000.0
2025-04-28,0.0,0.5,7.97,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.41,0.77,0.0,0.62,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,13.84,2470000000.0
2025-04-27,0.0,0.5,8.53,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.58,0.77,0.0,0.62,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,14.57,2470000000.0
2025-04-26,0.0,0.5,8.53,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.58,0.77,0.0,0.62,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,14.57,2470000000.0
2025-04-25,0.0,0.5,8.53,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.58,0.77,0.0,0.62,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,14.57,2470000000.0
2025-04-24,0.0,0.5,8.53,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.58,0.77,0.0,0.62,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,14.67,2470000000.0
2025-04-23,0.0,0.5,8.92,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.58,0.77,0.0,0.62,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,15.06,2470000000.0
2025-04-22,0.0,0.5,9.67,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.58,0.77,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,15.89,2470000000.0
2025-04-21,0.0,0.5,9.94,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,16.77,2470000000.0
2025-04-20,0.0,0.5,9.94,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,16.77,2470000000.0
2025-04-19,0.0,0.5,9.94,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,16.77,2470000000.0
2025-04-18,0.0,0.5,9.94,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,16.77,2470000000.0
2025-04-17,0.0,0.5,9.94,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,16.77,2470000000.0
2025-04-16,0.0,0.5,9.75,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,16.58,2470000000.0
2025-04-15,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.73,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,16.36,2470000000.0
2025-04-14,0.0,0.0,9.47,0.0,0.0,0.0,0.0,0.0,0.65,0.55,1.64,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.49,15.720000000000002,2470000000.0
2025-04-13,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.54,0.55,1.76,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.51,16.14,2470000000.0
2025-04-12,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.54,0.55,1.76,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.51,16.14,2470000000.0
2025-04-11,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.54,0.55,1.76,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.51,16.14,2470000000.0
2025-04-10,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.54,0.55,1.76,0.83,0.0,0.62,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.51,16.220000000000002,2470000000.0
