,5493003FS3JD468P6Z37,54930047VT047QI4EM75,-077-,2138001GBION41P49M96,TIJEY45X097ZK7UNQS80,549300SHI4D0QGWI8X45,6BS8JLEICI3VGJ264L55,Total,Market_capitalization
2025-05-05,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-05-04,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-05-03,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-05-02,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-05-01,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-30,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-29,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-28,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-27,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-26,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-25,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-24,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-23,0.51,0.0,0.45,0.48,0.5,0.48,0.88,3.3,9070000000.0
2025-04-22,0.49,0.0,0.45,0.48,0.48,0.48,0.88,3.26,9070000000.0
2025-04-21,0.53,0.0,0.45,0.48,0.48,0.48,0.88,3.3,9070000000.0
2025-04-20,0.53,0.0,0.45,0.48,0.48,0.48,0.88,3.3,9070000000.0
2025-04-19,0.53,0.0,0.45,0.48,0.48,0.48,0.88,3.3,9070000000.0
2025-04-18,0.53,0.0,0.45,0.48,0.48,0.48,0.88,3.3,9070000000.0
2025-04-17,0.53,0.0,0.45,0.48,0.48,0.48,0.88,3.3,9070000000.0
2025-04-16,0.53,0.0,0.45,0.48,0.48,0.48,0.88,3.3,9070000000.0
2025-04-15,0.53,0.0,0.45,0.48,0.48,0.48,0.88,3.3,9070000000.0
2025-04-14,0.68,0.0,0.45,0.48,0.48,0.48,0.88,3.4499999999999997,9070000000.0
2025-04-13,0.68,0.0,0.45,0.48,0.48,0.48,0.88,3.4499999999999997,9070000000.0
2025-04-12,0.68,0.0,0.45,0.48,0.48,0.48,0.88,3.4499999999999997,9070000000.0
2025-04-11,0.68,0.0,0.45,0.48,0.48,0.48,0.88,3.4499999999999997,9070000000.0
2025-04-10,0.68,0.0,0.45,0.48,0.48,0.48,0.88,3.4499999999999997,9070000000.0
2025-04-09,0.68,0.0,0.45,0.48,0.48,0.48,0.9,3.4699999999999998,9070000000.0
2025-04-08,0.68,0.0,0.45,0.48,0.48,0.48,0.81,3.38,9070000000.0
2025-04-07,0.78,0.0,0.45,0.48,0.48,0.48,0.81,3.48,9070000000.0
2025-04-06,0.78,0.0,0.45,0.48,0.52,0.48,0.81,3.52,9070000000.0
2025-04-05,0.78,0.0,0.45,0.48,0.52,0.48,0.81,3.52,9070000000.0
2025-04-04,0.78,0.0,0.45,0.48,0.52,0.48,0.81,3.52,9070000000.0
2025-04-03,0.82,0.0,0.45,0.48,0.52,0.48,0.81,3.56,9070000000.0
2025-04-02,0.82,0.0,0.45,0.53,0.52,0.48,0.81,3.6100000000000003,9070000000.0
2025-04-01,0.82,0.0,0.45,0.53,0.52,0.48,0.78,3.58,9070000000.0
2025-03-31,0.82,0.0,0.45,0.53,0.52,0.48,0.89,3.6900000000000004,9070000000.0
2025-03-30,0.82,0.0,0.45,0.53,0.52,0.48,0.89,3.6900000000000004,9070000000.0
2025-03-29,0.82,0.0,0.45,0.53,0.52,0.48,0.89,3.6900000000000004,9070000000.0
2025-03-28,0.82,0.0,0.45,0.53,0.52,0.48,0.89,3.6900000000000004,9070000000.0
2025-03-27,0.82,0.0,0.45,0.53,0.52,0.48,0.89,3.6900000000000004,9070000000.0
2025-03-26,0.82,0.0,0.45,0.53,0.52,0.48,0.89,3.6900000000000004,9070000000.0
