,-077-,5493002N1IVX6KHGYO08,213800B4PLJI84A5MF35,54930030NRYV5EVS2N02,51N7JKSPTG5EBVF38I88,ZKNTRMKPV369G3GYL686,-096-,549300I3U59T2U620T86,549300X6BK8XW1RP4G25,5493007EH2ZGRVN96H04,549300EJ1ZB4YYIOMD56,549300LPS48DJ96NXT15,6BS8JLEICI3VGJ264L55,LO3UDTZUG0RICVPFGQ53,549300DCU7KOL83B3B08,549300ARVD4LVNCUBN81,549300KKLDTNOIW0NU52,549300C4RWHVOOSD9T96,0M6M8M9HXLW8D3AU0N32,TNWE6LERP1CI9IDAZB80,549300RK1FB0VMTPD087,549300LVXYIVJKE13M84,Total,Market_capitalization
2025-05-05,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-05-04,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-05-03,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-05-02,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-05-01,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-30,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-29,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-28,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-27,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-26,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-25,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-24,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-23,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.63,0.0,0.6,1.29,0.5,0.5,6.35,3430000000.0
2025-04-22,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.5,6.2299999999999995,3430000000.0
2025-04-21,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.5,6.2299999999999995,3430000000.0
2025-04-20,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.5,6.2299999999999995,3430000000.0
2025-04-19,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.5,6.2299999999999995,3430000000.0
2025-04-18,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.5,6.2299999999999995,3430000000.0
2025-04-17,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.5,6.2299999999999995,3430000000.0
2025-04-16,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.5,6.14,3430000000.0
2025-04-15,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.0,5.64,3430000000.0
2025-04-14,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.63,0.0,0.59,1.31,0.5,0.0,5.55,3430000000.0
2025-04-13,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.63,0.0,0.59,1.31,0.5,0.0,5.55,3430000000.0
2025-04-12,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.63,0.0,0.59,1.31,0.5,0.0,5.55,3430000000.0
2025-04-11,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.63,0.0,0.59,1.31,0.5,0.0,5.55,3430000000.0
2025-04-10,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.63,0.0,0.59,1.29,0.5,0.0,5.449999999999999,3430000000.0
2025-04-09,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.63,0.0,0.59,1.36,0.5,0.0,5.37,3430000000.0
2025-04-08,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.63,0.0,0.59,1.36,0.0,0.0,4.87,3430000000.0
2025-04-07,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.63,0.0,0.59,1.36,0.0,0.0,4.87,3430000000.0
2025-04-06,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.63,0.0,0.59,1.36,0.0,0.0,4.87,3430000000.0
2025-04-05,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.63,0.0,0.59,1.36,0.0,0.0,4.87,3430000000.0
2025-04-04,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.63,0.0,0.59,1.36,0.0,0.0,4.87,3430000000.0
2025-04-03,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.63,0.0,0.59,1.28,0.0,0.0,4.71,3430000000.0
2025-04-02,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.63,0.0,0.59,1.28,0.0,0.0,4.59,3430000000.0
2025-04-01,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.63,0.0,0.59,1.28,0.0,0.0,4.59,3430000000.0
2025-03-31,0.0,0.0,0.3,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.63,0.0,0.59,1.32,0.0,0.0,4.6,3430000000.0
2025-03-30,0.0,0.0,0.3,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.63,0.0,0.59,1.28,0.0,0.0,4.7299999999999995,3430000000.0
2025-03-29,0.0,0.0,0.3,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.63,0.0,0.59,1.28,0.0,0.0,4.7299999999999995,3430000000.0
2025-03-28,0.0,0.0,0.3,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.63,0.0,0.59,1.28,0.0,0.0,4.7299999999999995,3430000000.0
2025-03-27,0.0,0.0,0.3,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.63,0.0,0.59,1.28,0.0,0.0,4.63,3430000000.0
