,549300GHZ48Y72I6HZ24,549300DCU7KOL83B3B08,-066-,549300RZS21MS2DKVC77,549300SHI4D0QGWI8X45,Total,Market_capitalization
2025-05-05,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-05-04,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-05-03,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-05-02,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-05-01,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-30,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-29,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-28,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-27,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-26,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-25,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-24,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-23,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-22,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-21,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-20,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-19,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-18,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-17,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-16,0.91,0.46,1.6,0.0,0.58,3.5500000000000003,1120000000.0
2025-04-15,0.91,0.46,1.55,0.0,0.58,3.5,1120000000.0
2025-04-14,0.91,0.46,1.55,0.0,0.58,3.5,1120000000.0
2025-04-13,0.91,0.46,1.43,0.0,0.58,3.38,1120000000.0
2025-04-12,0.91,0.46,1.43,0.0,0.58,3.38,1120000000.0
2025-04-11,0.91,0.46,1.43,0.0,0.58,3.38,1120000000.0
2025-04-10,0.91,0.46,1.3,0.0,0.68,3.35,1120000000.0
2025-04-09,0.91,0.46,1.3,0.0,0.68,3.35,1120000000.0
2025-04-08,0.91,0.46,1.3,0.0,0.68,3.35,1120000000.0
2025-04-07,0.91,0.46,1.3,0.0,0.73,3.4,1120000000.0
2025-04-06,0.91,0.46,1.3,0.0,0.73,3.4,1120000000.0
2025-04-05,0.91,0.46,1.3,0.0,0.73,3.4,1120000000.0
2025-04-04,0.91,0.46,1.3,0.0,0.73,3.4,1120000000.0
2025-04-03,0.91,0.46,1.3,0.0,0.73,3.4,1120000000.0
2025-04-02,0.91,0.46,1.3,0.0,0.61,3.28,1120000000.0
2025-04-01,0.91,0.46,1.3,0.0,0.61,3.28,1120000000.0
2025-03-31,0.91,0.46,1.3,0.0,0.61,3.28,1120000000.0
2025-03-30,0.91,0.46,1.3,0.0,0.61,3.28,1120000000.0
2025-03-29,0.91,0.46,1.3,0.0,0.61,3.28,1120000000.0
2025-03-28,0.91,0.46,1.3,0.0,0.61,3.28,1120000000.0
2025-03-27,0.91,0.46,1.3,0.0,0.61,3.28,1120000000.0
2025-03-26,0.91,0.46,1.3,0.0,0.51,3.1799999999999997,1120000000.0
2025-03-25,0.91,0.46,1.3,0.0,0.51,3.1799999999999997,1120000000.0
2025-03-24,0.91,0.46,1.3,0.0,0.51,3.1799999999999997,1120000000.0
2025-03-23,0.91,0.46,1.3,0.0,0.0,2.67,1120000000.0
2025-03-22,0.91,0.46,1.3,0.0,0.0,2.67,1120000000.0
2025-03-21,0.91,0.46,1.3,0.0,0.0,2.67,1120000000.0
2025-03-20,0.91,0.46,1.3,0.0,0.0,2.67,1120000000.0
2025-03-19,0.91,0.46,1.3,0.0,0.0,2.67,1120000000.0
2025-03-18,0.91,0.46,1.18,0.0,0.0,2.55,1120000000.0
2025-03-17,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-03-16,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-03-15,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-03-14,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-03-13,0.91,0.5,1.07,0.0,0.0,2.4800000000000004,1120000000.0
2025-03-12,0.91,0.5,1.07,0.0,0.0,2.4800000000000004,1120000000.0
2025-03-11,0.91,0.5,1.07,0.0,0.0,2.4800000000000004,1120000000.0
2025-03-10,0.91,0.5,1.07,0.0,0.0,2.4800000000000004,1120000000.0
2025-03-09,0.91,0.47,1.07,0.0,0.0,2.45,1120000000.0
2025-03-08,0.91,0.47,1.07,0.0,0.0,2.45,1120000000.0
2025-03-07,0.91,0.47,1.07,0.0,0.0,2.45,1120000000.0
2025-03-06,0.91,0.47,1.07,0.0,0.0,2.45,1120000000.0
2025-03-05,0.91,0.47,1.07,0.0,0.0,2.45,1120000000.0
2025-03-04,0.91,0.5,1.07,0.0,0.0,2.4800000000000004,1120000000.0
2025-03-03,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-03-02,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-03-01,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-02-28,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-02-27,0.91,0.46,1.07,0.0,0.0,2.4400000000000004,1120000000.0
2025-02-26,0.87,0.46,1.07,0.0,0.0,2.4000000000000004,1120000000.0
2025-02-25,0.87,0.46,1.07,0.0,0.0,2.4000000000000004,1120000000.0
2025-02-24,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-23,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-22,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-21,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-20,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-19,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-18,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-17,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-16,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-15,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-14,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-13,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-12,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-11,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-10,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-09,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-08,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-07,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-06,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-05,0.87,0.46,0.91,0.0,0.0,2.24,1120000000.0
2025-02-04,0.87,0.46,0.84,0.0,0.0,2.17,1120000000.0
2025-02-03,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-02-02,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-02-01,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-31,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-30,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-29,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-28,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-27,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-26,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-25,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-24,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-23,0.87,0.46,0.57,0.0,0.0,1.9,1120000000.0
2025-01-22,0.73,0.46,0.57,0.0,0.0,1.7599999999999998,1120000000.0
2025-01-21,0.73,0.46,0.57,0.0,0.0,1.7599999999999998,1120000000.0
2025-01-20,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-19,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-18,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-17,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-16,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-15,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-14,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-13,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-12,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-11,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-10,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-09,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-08,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
2025-01-07,0.73,0.46,0.57,0.46,0.0,2.2199999999999998,1120000000.0
