,TNWE6LERP1CI9IDAZB80,70DNWEAINTGFO4DMV441,54930030NRYV5EVS2N02,549300DCU7KOL83B3B08,549300RHSQCH106OWF77,549300SHI4D0QGWI8X45,549300RZS21MS2DKVC77,549300C4RWHVOOSD9T96,6BS8JLEICI3VGJ264L55,2138001GBION41P49M96,2138005A64T9BK11SV48,5493005Q2J4SQ04HVT95,213800LW6586WAWHGO96,549300ARVD4LVNCUBN81,549300GC5MDF1KXYMP06,549300EJ1ZB4YYIOMD56,0M6M8M9HXLW8D3AU0N32,-096-,Total,Market_capitalization
2025-05-08,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-05-07,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-05-06,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-05-05,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-05-04,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-05-03,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-05-02,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-05-01,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-30,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-29,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-28,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-27,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-26,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-25,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-24,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-23,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-22,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-21,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-20,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-19,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
2025-04-18,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.81,4.01,1350000000.0
