,6BS8JLEICI3VGJ264L55,213800SFSQPS3XKC4E48,5493003FS3JD468P6Z37,MQILSVGGL6RJH5NDWP11,549300KKLDTNOIW0NU52,Total,Market_capitalization
2025-05-05,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-05-04,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-05-03,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-05-02,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-05-01,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-30,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-29,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-28,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-27,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-26,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-25,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-24,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-23,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-22,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-21,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-20,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-19,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-18,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-17,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-16,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-15,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-14,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-13,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-12,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-11,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-10,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-09,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-08,0.72,0.0,0.0,0.0,0.7,1.42,13520000000.0
2025-04-07,0.8,0.0,0.0,0.0,0.7,1.5,13520000000.0
2025-04-06,0.79,0.0,0.0,0.0,0.7,1.49,13520000000.0
2025-04-05,0.79,0.0,0.0,0.0,0.7,1.49,13520000000.0
2025-04-04,0.79,0.0,0.0,0.0,0.7,1.49,13520000000.0
2025-04-03,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-04-02,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-04-01,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-03-31,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-03-30,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-03-29,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-03-28,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-03-27,0.8,0.0,0.0,0.0,0.69,1.49,13520000000.0
2025-03-26,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-03-25,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-24,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-23,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-22,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-21,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-20,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-19,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-18,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-17,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-16,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-15,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-14,0.8,0.0,0.0,0.0,0.73,1.53,13520000000.0
2025-03-13,0.74,0.0,0.0,0.0,0.73,1.47,13520000000.0
2025-03-12,0.74,0.0,0.0,0.0,0.73,1.47,13520000000.0
2025-03-11,0.74,0.0,0.0,0.0,0.69,1.43,13520000000.0
2025-03-10,0.68,0.0,0.0,0.0,0.69,1.37,13520000000.0
2025-03-09,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
2025-03-08,0.79,0.0,0.0,0.0,0.69,1.48,13520000000.0
