,213800R5EKDBNQU86M37,20FULDKQMC7ZL80LYR79,213800Q9Y1YY2GCZNZ90,2138006AZELNYKR3A325,213800N4DD1PZ1DKRT27,213800YQHG6V3VDDRN10,2138001GBION41P49M96,549300DCU7KOL83B3B08,213800B4PLJI84A5MF35,Total,Market_capitalization
2025-04-28,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-27,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-26,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-25,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-24,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-23,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-22,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-21,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-20,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-19,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-18,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-17,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-16,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-15,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-14,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-13,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-12,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-11,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-10,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-09,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-08,0.54,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,1.12,3160000000.0
2025-04-07,0.54,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.2200000000000002,3160000000.0
2025-04-06,0.54,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.2200000000000002,3160000000.0
2025-04-05,0.54,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.2200000000000002,3160000000.0
2025-04-04,0.54,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.2200000000000002,3160000000.0
2025-04-03,0.54,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.2200000000000002,3160000000.0
2025-04-02,0.69,0.0,0.0,0.0,0.0,0.0,0.68,0.6,0.0,1.9700000000000002,3160000000.0
2025-04-01,0.69,0.0,0.0,0.0,0.46,0.0,0.68,0.6,0.0,2.43,3160000000.0
2025-03-31,0.69,0.0,0.0,0.0,0.46,0.0,0.68,0.6,0.0,2.43,3160000000.0
2025-03-30,0.69,0.0,0.0,0.0,0.46,0.0,0.68,0.6,0.0,2.43,3160000000.0
2025-03-29,0.69,0.0,0.0,0.0,0.46,0.0,0.68,0.6,0.0,2.43,3160000000.0
2025-03-28,0.69,0.0,0.0,0.0,0.46,0.0,0.68,0.6,0.0,2.43,3160000000.0
2025-03-27,0.69,0.0,0.0,0.0,0.69,0.0,0.68,0.6,0.0,2.66,3160000000.0
2025-03-26,0.69,0.0,0.0,0.0,0.69,0.0,0.68,0.6,0.0,2.66,3160000000.0
2025-03-25,0.69,0.0,0.0,0.0,0.69,0.0,0.68,0.6,0.0,2.66,3160000000.0
2025-03-24,0.69,0.0,0.0,0.0,0.69,0.0,0.68,0.6,0.0,2.66,3160000000.0
2025-03-23,0.69,0.0,0.0,0.0,0.69,0.0,0.68,0.6,0.0,2.66,3160000000.0
2025-03-22,0.69,0.0,0.0,0.0,0.69,0.0,0.68,0.6,0.0,2.66,3160000000.0
2025-03-21,0.69,0.0,0.0,0.0,0.69,0.0,0.68,0.6,0.0,2.66,3160000000.0
2025-03-20,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-19,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-18,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-17,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-16,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-15,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-14,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-13,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.6,0.0,1.98,3160000000.0
2025-03-12,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.59,0.0,1.9699999999999998,3160000000.0
2025-03-11,0.69,0.0,0.0,0.0,0.69,0.0,0.0,0.59,0.0,1.9699999999999998,3160000000.0
