,6BS8JLEICI3VGJ264L55,5493003FS3JD468P6Z37,213800A5CUWSROO6GV75,Q0HK1ORK3JOMOF7R6K47,549300SHI4D0QGWI8X45,549300X1IL2SQS14P736,213800SFSQPS3XKC4E48,2138001GBION41P49M96,213800B4PLJI84A5MF35,549300MAWC0XRT4T3W74,54930030NRYV5EVS2N02,549300A6QDHQKENHMS92,213800LW6586WAWHGO96,213800N4DD1PZ1DKRT27,549300DCU7KOL83B3B08,213800ZDALW8Y45E9H34,0YPU8TSIANKX6T56SD94,-096-,UU497BMAZ1ZKIT3YNT03,TNWE6LERP1CI9IDAZB80,Total,Market_capitalization
2025-05-05,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-05-04,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-05-03,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-05-02,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-05-01,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-04-30,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-04-29,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-04-28,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-04-27,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-04-26,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-04-25,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
2025-04-24,2.19,0.66,0.0,1.08,0.76,0.0,2.42,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.74,10.39,2170000000.0
