,549300DCU7KOL83B3B08,6BS8JLEICI3VGJ264L55,Q0HK1ORK3JOMOF7R6K47,549300KKLDTNOIW0NU52,549300WTVI4KO4GEJN54,549300ARVD4LVNCUBN81,2138001GBION41P49M96,213800DIZ3J3XWDIN165,-077-,Total,Market_capitalization
2025-05-08,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-05-07,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-05-06,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-05-05,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-05-04,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-05-03,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-05-02,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-05-01,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-30,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-29,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-28,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-27,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-26,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-25,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-24,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-23,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-22,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-21,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-20,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-19,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-18,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-17,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-16,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-15,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-14,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-13,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-12,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-11,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-10,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-09,0.0,0.73,0.0,1.23,0.0,0.0,0.57,1.67,0.0,4.199999999999999,353760000.0
2025-04-08,0.0,0.73,0.0,1.1,0.0,0.0,0.57,1.06,0.0,3.46,353760000.0
2025-04-07,0.0,0.73,0.0,1.1,0.0,0.0,0.57,0.77,0.0,3.17,353760000.0
2025-04-06,0.0,0.65,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.15,353760000.0
2025-04-05,0.0,0.65,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.15,353760000.0
2025-04-04,0.0,0.65,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.15,353760000.0
2025-04-03,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-04-02,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-04-01,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-31,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-30,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-29,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-28,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-27,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-26,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-25,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-24,0.0,0.52,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.02,353760000.0
2025-03-23,0.0,0.49,0.0,0.93,0.0,0.0,0.57,0.0,0.0,1.9899999999999998,353760000.0
2025-03-22,0.0,0.49,0.0,0.93,0.0,0.0,0.57,0.0,0.0,1.9899999999999998,353760000.0
2025-03-21,0.0,0.49,0.0,0.93,0.0,0.0,0.57,0.0,0.0,1.9899999999999998,353760000.0
2025-03-20,0.0,0.49,0.0,0.93,0.0,0.0,0.57,0.0,0.0,1.9899999999999998,353760000.0
2025-03-19,0.0,0.57,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.07,353760000.0
2025-03-18,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-17,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-16,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-15,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-14,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-13,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-12,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-11,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-10,0.0,0.78,0.0,0.93,0.0,0.0,0.57,0.0,0.0,2.28,353760000.0
2025-03-09,0.0,0.78,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.17,353760000.0
2025-03-08,0.0,0.78,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.17,353760000.0
2025-03-07,0.0,0.78,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.17,353760000.0
2025-03-06,0.0,0.78,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.17,353760000.0
2025-03-05,0.0,0.78,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.17,353760000.0
2025-03-04,0.0,0.88,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.27,353760000.0
2025-03-03,0.0,0.88,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.27,353760000.0
2025-03-02,0.0,0.93,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.32,353760000.0
2025-03-01,0.0,0.93,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.32,353760000.0
2025-02-28,0.0,0.93,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.32,353760000.0
2025-02-27,0.0,0.93,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.32,353760000.0
2025-02-26,0.0,0.93,0.0,0.82,0.0,0.0,0.57,0.0,0.0,2.32,353760000.0
2025-02-25,0.0,0.93,0.0,0.73,0.0,0.0,0.57,0.0,0.0,2.23,353760000.0
2025-02-24,0.0,0.93,0.0,0.73,0.0,0.0,0.57,0.0,0.0,2.23,353760000.0
2025-02-23,0.0,0.86,0.0,0.73,0.0,0.0,0.57,0.0,0.0,2.1599999999999997,353760000.0
2025-02-22,0.0,0.86,0.0,0.73,0.0,0.0,0.57,0.0,0.0,2.1599999999999997,353760000.0
2025-02-21,0.0,0.86,0.0,0.73,0.0,0.0,0.57,0.0,0.0,2.1599999999999997,353760000.0
2025-02-20,0.0,0.86,0.0,0.73,0.0,0.0,0.57,0.0,0.0,2.1599999999999997,353760000.0
2025-02-19,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-18,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-17,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-16,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-15,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-14,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-13,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-12,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
2025-02-11,0.0,0.93,0.0,0.62,0.0,0.0,0.57,0.0,0.0,2.12,353760000.0
