,549300EJ1ZB4YYIOMD56,549300KKLDTNOIW0NU52,6BS8JLEICI3VGJ264L55,2138001GBION41P49M96,549300LPS48DJ96NXT15,549300SHI4D0QGWI8X45,549300WBD0DQZRTLVD96,5493003FS3JD468P6Z37,549300C4RWHVOOSD9T96,TNWE6LERP1CI9IDAZB80,549300EOZ04JQL5Q8E05,219JICTKZM2TR3X24G69,Total,Market_capitalization
2025-05-08,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.9,0.0,1.26,0.7,0.62,5.28,3940000000.0
2025-05-07,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.9,0.0,1.26,0.7,0.62,5.28,3940000000.0
2025-05-06,0.49,0.0,0.0,0.0,0.0,0.8,0.0,1.9,0.0,1.26,0.7,0.62,5.7700000000000005,3940000000.0
2025-05-05,0.49,0.0,0.0,0.0,0.0,0.8,0.0,1.9,0.0,1.26,0.7,0.62,5.7700000000000005,3940000000.0
2025-05-04,0.49,0.0,0.0,0.0,0.0,0.8,0.0,1.9,0.0,1.39,0.7,0.62,5.9,3940000000.0
2025-05-03,0.49,0.0,0.0,0.0,0.0,0.8,0.0,1.9,0.0,1.39,0.7,0.62,5.9,3940000000.0
2025-05-02,0.49,0.0,0.0,0.0,0.0,0.8,0.0,1.9,0.0,1.39,0.7,0.62,5.9,3940000000.0
2025-05-01,0.49,0.0,0.0,0.0,0.0,0.8,0.0,1.87,0.0,1.39,0.7,0.62,5.87,3940000000.0
2025-04-30,0.49,0.45,0.0,0.0,0.0,0.8,0.0,1.87,0.0,1.39,0.7,0.62,6.32,3940000000.0
2025-04-29,0.49,0.45,0.0,0.0,0.0,0.8,0.0,1.87,0.0,1.39,0.7,0.62,6.32,3940000000.0
2025-04-28,0.5,0.45,0.0,0.0,0.0,0.75,0.0,1.72,0.0,1.39,0.7,0.62,6.13,3940000000.0
2025-04-27,0.5,0.45,0.0,0.0,0.0,0.75,0.0,1.72,0.0,1.39,0.7,0.5,6.01,3940000000.0
2025-04-26,0.5,0.45,0.0,0.0,0.0,0.75,0.0,1.72,0.0,1.39,0.7,0.5,6.01,3940000000.0
2025-04-25,0.5,0.45,0.0,0.0,0.0,0.75,0.0,1.72,0.0,1.39,0.7,0.5,6.01,3940000000.0
2025-04-24,0.5,0.45,0.0,0.0,0.0,0.75,0.0,1.72,0.0,1.39,0.7,0.5,6.01,3940000000.0
2025-04-23,0.5,0.45,0.0,0.0,0.0,0.75,0.0,1.6,0.0,1.4,0.7,0.5,5.8999999999999995,3940000000.0
2025-04-22,0.5,0.61,0.0,0.0,0.0,0.6,0.0,1.6,0.0,1.4,0.7,0.0,5.41,3940000000.0
2025-04-21,0.5,0.61,0.0,0.0,0.0,0.6,0.0,1.6,0.0,1.39,0.7,0.0,5.4,3940000000.0
2025-04-20,0.5,0.61,0.0,0.0,0.0,0.6,0.0,1.6,0.0,1.39,0.7,0.0,5.4,3940000000.0
2025-04-19,0.5,0.61,0.0,0.0,0.0,0.6,0.0,1.6,0.0,1.39,0.7,0.0,5.4,3940000000.0
2025-04-18,0.5,0.61,0.0,0.0,0.0,0.6,0.0,1.6,0.0,1.39,0.7,0.0,5.4,3940000000.0
2025-04-17,0.5,0.61,0.0,0.0,0.0,0.6,0.0,1.6,0.0,1.39,0.7,0.0,5.4,3940000000.0
2025-04-16,0.0,0.84,0.0,0.0,0.0,0.6,0.0,1.6,0.0,1.4,0.7,0.0,5.14,3940000000.0
2025-04-15,0.0,0.84,0.0,0.0,0.0,0.51,0.0,1.6,0.0,1.4,0.7,0.0,5.05,3940000000.0
2025-04-14,0.0,0.84,0.0,0.0,0.0,0.51,0.0,1.6,0.0,1.4,0.7,0.0,5.05,3940000000.0
2025-04-13,0.0,0.84,0.0,0.0,0.0,0.51,0.0,1.57,0.0,1.31,0.7,0.0,4.930000000000001,3940000000.0
2025-04-12,0.0,0.84,0.0,0.0,0.0,0.51,0.0,1.57,0.0,1.31,0.7,0.0,4.930000000000001,3940000000.0
