,-unknown-,<05,<1,<2,<5,>=5,FR,GB,HK,Market_capitalization,US,Total
2025-05-08,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-05-07,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-05-06,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-05-05,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-05-04,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-05-03,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-05-02,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-05-01,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-04-30,0.0,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,0.92
2025-04-29,0.31,0,0,2,0,0,0.15,0.77,0.0,11790000000.0,0.0,1.23
2025-04-28,0.31,0,0,2,0,0,0.15,0.73,0.0,11790000000.0,0.0,1.19
2025-04-27,0.31,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.21
2025-04-26,0.31,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.21
2025-04-25,0.31,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.21
2025-04-24,0.31,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.21
2025-04-23,0.31,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.21
2025-04-22,0.31,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.21
2025-04-21,0.34,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.24
2025-04-20,0.34,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.24
2025-04-19,0.34,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.24
2025-04-18,0.34,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.24
2025-04-17,0.63,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.53
2025-04-16,0.63,0,0,2,0,0,0.15,0.74,0.0,11790000000.0,0.0,1.52
2025-04-15,0.63,0,0,2,0,0,0.15,0.75,0.0,11790000000.0,0.0,1.53
2025-04-14,0.63,0,0,2,0,0,0.15,0.68,0.0,11790000000.0,0.0,1.46
2025-04-13,0.63,0,0,2,0,0,0.15,0.68,0.0,11790000000.0,0.0,1.46
2025-04-12,0.63,0,0,2,0,0,0.15,0.68,0.0,11790000000.0,0.0,1.46
2025-04-11,0.63,0,0,2,0,0,0.15,0.68,0.0,11790000000.0,0.0,1.46
2025-04-10,0.63,0,0,2,0,0,0.15,0.68,0.0,11790000000.0,0.0,1.46
2025-04-09,0.76,0,0,1,1,0,0.15,0.68,0.0,11790000000.0,0.0,1.59
2025-04-08,0.69,0,0,2,0,0,0.15,0.41,0.0,11790000000.0,0.0,1.25
2025-04-07,0.69,0,0,2,0,0,0.15,0.41,0.0,11790000000.0,0.0,1.25
2025-04-06,0.35,0,0,2,0,0,0.15,0.41,0.0,11790000000.0,0.0,0.9099999999999999
2025-04-05,0.35,0,0,2,0,0,0.15,0.41,0.0,11790000000.0,0.0,0.9099999999999999
2025-04-04,0.35,0,0,2,0,0,0.15,0.41,0.0,11790000000.0,0.0,0.9099999999999999
2025-04-03,0.35,0,1,1,0,0,0.15,0.33,0.0,11790000000.0,0.0,0.8300000000000001
2025-04-02,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-04-01,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-03-31,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-03-30,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-03-29,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-03-28,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-03-27,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-03-26,0.35,0,2,0,0,0,0.15,0.0,0.0,11790000000.0,0.0,0.5
2025-03-25,0.35,0,2,0,0,0,0.17,0.0,0.0,11790000000.0,0.0,0.52
2025-03-24,0.35,0,1,1,0,0,0.17,0.08,0.0,11790000000.0,0.0,0.6
2025-03-23,0.35,0,1,1,0,0,0.17,0.08,0.0,11790000000.0,0.0,0.6
2025-03-22,0.35,0,1,1,0,0,0.17,0.08,0.0,11790000000.0,0.0,0.6
2025-03-21,0.35,0,1,1,0,0,0.17,0.08,0.0,11790000000.0,0.0,0.6
2025-03-20,0.35,0,1,1,0,0,0.17,0.08,0.0,11790000000.0,0.0,0.6
2025-03-19,0.35,0,1,1,0,0,0.17,0.1,0.0,11790000000.0,0.0,0.62
2025-03-18,0.35,0,1,1,0,0,0.17,0.1,0.0,11790000000.0,0.0,0.62
2025-03-17,0.35,0,1,1,0,0,0.17,0.1,0.0,11790000000.0,0.0,0.62
2025-03-16,0.35,0,1,1,0,0,0.17,0.1,0.0,11790000000.0,0.0,0.62
2025-03-15,0.35,0,1,1,0,0,0.17,0.1,0.0,11790000000.0,0.0,0.62
2025-03-14,0.62,0,1,1,0,0,0.17,0.1,0.0,11790000000.0,0.0,0.89
2025-03-13,0.62,0,1,0,1,0,0.17,0.1,0.0,11790000000.0,0.08,0.97
2025-03-12,0.62,0,0,1,1,0,0.17,0.1,0.0,11790000000.0,0.38,1.27
2025-03-11,0.62,0,0,1,1,0,0.17,0.11,0.0,11790000000.0,0.38,1.28
2025-03-10,0.62,0,0,1,1,0,0.17,0.11,0.0,11790000000.0,0.38,1.28
2025-03-09,0.62,0,0,1,1,0,0.17,0.13,0.0,11790000000.0,0.38,1.3
2025-03-08,0.62,0,0,1,1,0,0.17,0.13,0.0,11790000000.0,0.38,1.3
2025-03-07,0.62,0,0,1,1,0,0.17,0.13,0.0,11790000000.0,0.38,1.3
2025-03-06,0.71,0,0,1,1,0,0.18,0.15,0.0,11790000000.0,0.38,1.42
2025-03-05,0.76,0,0,1,1,0,0.18,0.15,0.0,11790000000.0,0.38,1.4699999999999998
2025-03-04,0.76,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.43,1.5299999999999998
2025-03-03,0.72,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.4,1.46
2025-03-02,0.67,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.4,1.4100000000000001
2025-03-01,0.67,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.4,1.4100000000000001
2025-02-28,0.67,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.4,1.4100000000000001
2025-02-27,0.69,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.4,1.4299999999999997
2025-02-26,0.69,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.4,1.4299999999999997
2025-02-25,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.45,1.1400000000000001
2025-02-24,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.45,1.1400000000000001
2025-02-23,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.48,1.17
2025-02-22,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.48,1.17
2025-02-21,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.48,1.17
2025-02-20,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.48,1.17
2025-02-19,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.48,1.17
2025-02-18,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.48,1.17
2025-02-17,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.46,1.1500000000000001
2025-02-16,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.46,1.1500000000000001
2025-02-15,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.46,1.1500000000000001
2025-02-14,0.35,0,0,1,1,0,0.18,0.16,0.0,11790000000.0,0.46,1.1500000000000001
