,-unknown-,<05,<1,<2,<5,>=5,FR,GB,IE,Market_capitalization,US,Total
2025-04-28,1.38,2,0,0,0,1,0.08,0.9,0.0,18061910000.0,0.3,2.6599999999999997
2025-04-27,1.38,2,0,0,0,1,0.08,0.9,0.0,18061910000.0,0.3,2.6599999999999997
2025-04-26,1.38,2,0,0,0,1,0.08,0.9,0.0,18061910000.0,0.3,2.6599999999999997
2025-04-25,1.38,2,0,0,0,1,0.08,0.9,0.0,18061910000.0,0.3,2.6599999999999997
2025-04-24,1.38,2,0,0,0,1,0.08,0.9,0.0,18061910000.0,0.3,2.6599999999999997
2025-04-23,1.44,2,0,0,0,1,0.08,0.9,0.0,18061910000.0,0.3,2.7199999999999998
2025-04-22,1.54,2,0,0,0,1,0.08,0.91,0.0,18061910000.0,0.3,2.83
2025-04-21,1.58,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.3,2.88
2025-04-20,1.58,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.3,2.88
2025-04-19,1.58,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.3,2.88
2025-04-18,1.58,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.3,2.88
2025-04-17,1.58,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.3,2.88
2025-04-16,1.56,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.3,2.86
2025-04-15,1.6,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.23,2.83
2025-04-14,1.52,2,0,0,0,1,0.08,0.92,0.0,18061910000.0,0.22,2.74
2025-04-13,1.58,2,0,0,0,1,0.08,0.93,0.0,18061910000.0,0.21,2.8000000000000003
2025-04-12,1.58,2,0,0,0,1,0.08,0.93,0.0,18061910000.0,0.21,2.8000000000000003
2025-04-11,1.58,2,0,0,0,1,0.08,0.93,0.0,18061910000.0,0.21,2.8000000000000003
2025-04-10,1.59,2,0,0,0,1,0.13,0.93,0.0,18061910000.0,0.21,2.8600000000000003
2025-04-09,1.68,2,0,0,0,1,0.13,0.92,0.0,18061910000.0,0.21,2.94
2025-04-08,1.61,2,0,0,0,1,0.13,0.92,0.0,18061910000.0,0.21,2.87
2025-04-07,1.57,2,0,0,0,1,0.13,0.92,0.0,18061910000.0,0.26,2.88
2025-04-06,1.62,2,0,0,0,1,0.13,0.93,0.0,18061910000.0,0.26,2.9400000000000004
2025-04-05,1.62,2,0,0,0,1,0.13,0.93,0.0,18061910000.0,0.26,2.9400000000000004
2025-04-04,1.62,2,0,0,0,1,0.13,0.93,0.0,18061910000.0,0.26,2.9400000000000004
2025-04-03,1.52,2,0,0,0,1,0.13,0.93,0.0,18061910000.0,0.19,2.77
2025-04-02,1.14,2,0,0,0,1,0.06,0.89,0.0,18061910000.0,0.19,2.28
2025-04-01,1.11,2,0,0,0,1,0.06,0.89,0.0,18061910000.0,0.19,2.25
2025-03-31,1.23,2,0,0,0,1,0.06,0.89,0.0,18061910000.0,0.19,2.37
2025-03-30,1.21,2,0,0,0,1,0.06,0.88,0.0,18061910000.0,0.19,2.34
2025-03-29,1.21,2,0,0,0,1,0.06,0.88,0.0,18061910000.0,0.19,2.34
2025-03-28,1.21,2,0,0,0,1,0.06,0.88,0.0,18061910000.0,0.19,2.34
2025-03-27,1.13,2,0,0,0,1,0.06,0.79,0.0,18061910000.0,0.19,2.17
2025-03-26,1.13,2,0,0,0,1,0.06,0.79,0.0,18061910000.0,0.19,2.17
2025-03-25,1.19,2,0,0,0,1,0.06,0.78,0.0,18061910000.0,0.19,2.22
2025-03-24,1.15,2,0,0,0,1,0.06,0.76,0.0,18061910000.0,0.19,2.16
2025-03-23,1.17,2,0,0,0,1,0.06,0.75,0.0,18061910000.0,0.19,2.17
2025-03-22,1.17,2,0,0,0,1,0.06,0.75,0.0,18061910000.0,0.19,2.17
2025-03-21,1.17,2,0,0,0,1,0.06,0.75,0.0,18061910000.0,0.19,2.17
2025-03-20,1.03,2,0,0,0,1,0.06,0.75,0.0,18061910000.0,0.19,2.0300000000000002
2025-03-19,1.07,2,0,0,0,1,0.06,0.75,0.0,18061910000.0,0.19,2.0700000000000003
2025-03-18,1.01,2,0,0,0,1,0.06,0.75,0.0,18061910000.0,0.19,2.0100000000000002
2025-03-17,1.08,2,0,0,0,1,0.06,0.75,0.0,18061910000.0,0.19,2.08
2025-03-16,1.14,2,0,0,0,1,0.06,0.73,0.0,18061910000.0,0.19,2.12
2025-03-15,1.14,2,0,0,0,1,0.06,0.73,0.0,18061910000.0,0.19,2.12
2025-03-14,1.14,2,0,0,0,1,0.06,0.73,0.0,18061910000.0,0.19,2.12
2025-03-13,1.11,2,0,0,0,1,0.06,0.64,0.0,18061910000.0,0.19,2.0
2025-03-12,0.46,2,0,0,0,1,0.06,0.6,0.0,18061910000.0,0.19,1.31
2025-03-11,0.37,2,0,0,0,1,0.06,0.6,0.0,18061910000.0,0.19,1.22
2025-03-10,0.23,2,0,0,1,0,0.06,0.6,0.0,18061910000.0,0.19,1.08
2025-03-09,0.11,2,0,0,0,1,0.06,0.6,0.2,18061910000.0,0.19,1.16
2025-03-08,0.11,2,0,0,0,1,0.06,0.6,0.2,18061910000.0,0.19,1.16
2025-03-07,0.11,2,0,0,0,1,0.06,0.6,0.2,18061910000.0,0.19,1.16
2025-03-06,0.09,2,0,0,1,0,0.06,0.6,0.09,18061910000.0,0.19,1.03
2025-03-05,0.09,2,0,0,1,0,0.06,0.6,0.0,18061910000.0,0.19,0.94
2025-03-04,0.23,2,0,0,1,0,0.06,0.6,0.0,18061910000.0,0.19,1.08
2025-03-03,0.09,2,0,0,1,0,0.06,0.6,0.17,18061910000.0,0.19,1.11
2025-03-02,0.08,2,0,0,1,0,0.06,0.58,0.11,18061910000.0,0.19,1.02
2025-03-01,0.08,2,0,0,1,0,0.06,0.58,0.11,18061910000.0,0.19,1.02
2025-02-28,0.08,2,0,0,1,0,0.06,0.58,0.11,18061910000.0,0.19,1.02
2025-02-27,0.08,2,0,0,1,0,0.06,0.58,0.06,18061910000.0,0.19,0.97
2025-02-26,0.08,2,0,0,1,0,0.06,0.6,0.06,18061910000.0,0.19,0.99
2025-02-25,0.09,2,0,0,1,0,0.06,0.6,0.06,18061910000.0,0.19,1.0
2025-02-24,0.09,2,0,0,1,0,0.06,0.6,0.06,18061910000.0,0.19,1.0
2025-02-23,0.09,2,0,0,1,0,0.06,0.6,0.06,18061910000.0,0.19,1.0
2025-02-22,0.09,2,0,0,1,0,0.06,0.6,0.06,18061910000.0,0.19,1.0
2025-02-21,0.09,2,0,0,1,0,0.06,0.6,0.06,18061910000.0,0.19,1.0
2025-02-20,0.1,2,0,0,1,0,0.06,0.61,0.14,18061910000.0,0.19,1.1
2025-02-19,0.1,2,0,0,0,1,0.06,0.61,0.16,18061910000.0,0.19,1.12
2025-02-18,0.1,1,1,0,1,0,0.06,0.65,0.0,18061910000.0,0.12,0.93
2025-02-17,0.1,1,1,0,1,0,0.06,0.71,0.0,18061910000.0,0.12,0.99
2025-02-16,0.09,1,1,0,1,0,0.06,0.71,0.0,18061910000.0,0.12,0.98
2025-02-15,0.09,1,1,0,1,0,0.06,0.71,0.0,18061910000.0,0.12,0.98
2025-02-14,0.09,1,1,0,1,0,0.06,0.71,0.0,18061910000.0,0.12,0.98
2025-02-13,0.09,1,1,0,1,0,0.06,0.85,0.0,18061910000.0,0.12,1.12
2025-02-12,0.1,1,1,0,1,0,0.06,0.86,0.0,18061910000.0,0.12,1.1400000000000001
2025-02-11,0.09,1,1,0,1,0,0.06,0.92,0.0,18061910000.0,0.12,1.19
2025-02-10,0.09,1,1,0,1,0,0.06,0.93,0.0,18061910000.0,0.12,1.2000000000000002
2025-02-09,0.09,1,1,0,1,0,0.06,0.93,0.0,18061910000.0,0.12,1.2000000000000002
2025-02-08,0.09,1,1,0,1,0,0.06,0.93,0.0,18061910000.0,0.12,1.2000000000000002
2025-02-07,0.09,1,1,0,1,0,0.06,0.93,0.0,18061910000.0,0.12,1.2000000000000002
2025-02-06,0.07,1,1,0,1,0,0.06,0.94,0.0,18061910000.0,0.12,1.19
2025-02-05,0.07,1,1,0,1,0,0.06,1.04,0.0,18061910000.0,0.12,1.29
2025-02-04,0.07,1,1,0,1,0,0.06,1.04,0.0,18061910000.0,0.12,1.29
2025-02-03,0.07,1,1,0,1,0,0.06,1.04,0.0,18061910000.0,0.12,1.29
2025-02-02,0.07,1,1,0,1,0,0.06,1.04,0.0,18061910000.0,0.12,1.29
2025-02-01,0.07,1,1,0,1,0,0.06,1.04,0.0,18061910000.0,0.12,1.29
2025-01-31,0.07,1,1,0,1,0,0.06,1.04,0.0,18061910000.0,0.12,1.29
2025-01-30,0.07,0,2,0,1,0,0.06,1.04,0.0,18061910000.0,0.12,1.29
2025-01-29,0.07,0,1,1,1,0,0.06,1.12,0.0,18061910000.0,0.12,1.37
2025-01-28,0.07,0,1,1,1,0,0.06,1.11,0.0,18061910000.0,0.12,1.3600000000000003
2025-01-27,0.07,0,1,1,1,0,0.06,1.18,0.0,18061910000.0,0.19,1.5
2025-01-26,0.07,1,0,1,1,0,0.06,1.35,0.0,18061910000.0,0.19,1.67
2025-01-25,0.07,1,0,1,1,0,0.06,1.35,0.0,18061910000.0,0.19,1.67
2025-01-24,0.07,1,0,1,1,0,0.06,1.35,0.0,18061910000.0,0.19,1.67
2025-01-23,0.06,1,0,1,1,0,0.06,1.45,0.0,18061910000.0,0.18,1.7499999999999998
2025-01-22,0.06,1,0,1,1,0,0.06,1.45,0.0,18061910000.0,0.18,1.7499999999999998
2025-01-21,0.06,0,1,1,1,0,0.06,1.46,0.0,18061910000.0,0.18,1.76
2025-01-20,0.18,0,1,1,0,1,0.06,1.53,0.0,18061910000.0,0.19,1.96
2025-01-19,0.06,0,1,1,1,0,0.06,1.53,0.0,18061910000.0,0.19,1.8399999999999999
2025-01-18,0.06,0,1,1,1,0,0.06,1.53,0.0,18061910000.0,0.19,1.8399999999999999
2025-01-17,0.06,0,1,1,1,0,0.06,1.53,0.0,18061910000.0,0.19,1.8399999999999999
