,-unknown-,<05,<1,<2,<5,>=5,AE,FR,GB,HK,IE,Market_capitalization,NL,US,Total
2025-05-08,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-05-07,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-05-06,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-05-05,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-05-04,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-05-03,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-05-02,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-05-01,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-30,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-29,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-28,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-27,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-26,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-25,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-24,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-23,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-22,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-21,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-20,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-19,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-18,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-17,0.0,0,2,2,0,2,0.0,0.04,1.02,0.0,0.0,24080530000.0,0.51,0.47,2.04
2025-04-16,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-15,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-14,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-13,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-12,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-11,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-10,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-09,0.0,0,1,2,0,2,0.0,0.04,0.94,0.0,0.0,24080530000.0,0.51,0.47,1.96
2025-04-08,0.0,0,1,2,0,2,0.0,0.03,0.95,0.0,0.0,24080530000.0,0.51,0.44,1.93
2025-04-07,0.0,0,1,2,0,2,0.0,0.0,0.94,0.0,0.0,24080530000.0,0.51,0.43,1.88
2025-04-06,0.0,0,1,2,1,1,0.0,0.0,0.94,0.0,0.0,24080530000.0,0.51,0.42,1.8699999999999999
2025-04-05,0.0,0,1,2,1,1,0.0,0.0,0.94,0.0,0.0,24080530000.0,0.51,0.42,1.8699999999999999
2025-04-04,0.0,0,1,2,1,1,0.0,0.0,0.94,0.0,0.0,24080530000.0,0.51,0.42,1.8699999999999999
2025-04-03,0.0,0,1,2,1,1,0.0,0.0,0.94,0.0,0.0,24080530000.0,0.51,0.4,1.85
2025-04-02,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.51,0.38,1.7799999999999998
2025-04-01,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.51,0.38,1.7799999999999998
2025-03-31,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.51,0.39,1.79
2025-03-30,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.51,0.37,1.77
2025-03-29,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.51,0.37,1.77
2025-03-28,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.51,0.37,1.77
2025-03-27,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.51,0.38,1.7799999999999998
2025-03-26,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.5,0.39,1.7800000000000002
2025-03-25,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.5,0.39,1.7800000000000002
2025-03-24,0.0,0,1,2,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.47,0.38,1.7399999999999998
2025-03-23,0.0,0,1,2,1,1,0.0,0.0,0.88,0.0,0.0,24080530000.0,0.47,0.33,1.6800000000000002
2025-03-22,0.0,0,1,2,1,1,0.0,0.0,0.88,0.0,0.0,24080530000.0,0.47,0.33,1.6800000000000002
2025-03-21,0.0,1,1,2,1,1,0.0,0.0,0.91,0.0,0.0,24080530000.0,0.47,0.38,1.7599999999999998
2025-03-20,0.0,1,1,2,1,1,0.0,0.0,0.91,0.0,0.0,24080530000.0,0.47,0.38,1.7599999999999998
2025-03-19,0.0,1,1,2,1,1,0.0,0.0,0.91,0.0,0.0,24080530000.0,0.47,0.37,1.75
2025-03-18,0.0,0,2,2,1,1,0.0,0.0,0.91,0.0,0.0,24080530000.0,0.46,0.36,1.73
2025-03-17,0.0,0,3,1,1,1,0.0,0.0,0.9,0.0,0.0,24080530000.0,0.46,0.36,1.7200000000000002
2025-03-16,0.0,0,3,1,1,1,0.0,0.0,0.9,0.0,0.0,24080530000.0,0.45,0.36,1.71
2025-03-15,0.0,0,3,1,1,1,0.0,0.0,0.9,0.0,0.0,24080530000.0,0.45,0.36,1.71
2025-03-14,0.0,0,3,1,1,1,0.0,0.0,0.89,0.0,0.0,24080530000.0,0.45,0.36,1.7000000000000002
