,<05,<1,<2,<5,>=5,CH,GB,Market_capitalization,NL,US,Total
2025-05-05,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-05-04,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-05-03,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-05-02,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-05-01,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-30,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-29,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-28,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-27,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-26,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-25,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-24,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-23,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-22,3,0,1,0,0,0.0,0.0,7110000000.0,0.56,0.0,0.56
2025-04-21,2,1,1,0,0,0.0,0.09,7110000000.0,0.56,0.0,0.65
2025-04-20,2,1,1,0,0,0.0,0.09,7110000000.0,0.56,0.0,0.65
2025-04-19,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-18,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-17,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-16,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-15,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-14,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-13,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-12,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-11,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-10,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-09,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-08,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-07,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-06,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-05,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-04,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-03,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-02,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-04-01,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-31,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-30,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-29,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-28,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-27,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-26,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-25,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-24,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-23,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-22,2,0,2,0,0,0.0,0.22,7110000000.0,0.56,0.0,0.78
2025-03-21,1,0,3,0,0,0.0,0.53,7110000000.0,0.56,0.0,1.09
2025-03-20,1,0,3,0,0,0.0,0.53,7110000000.0,0.56,0.0,1.09
2025-03-19,1,0,3,0,0,0.0,0.53,7110000000.0,0.56,0.0,1.09
2025-03-18,1,0,3,0,0,0.0,0.53,7110000000.0,0.56,0.0,1.09
2025-03-17,1,0,3,0,0,0.0,0.53,7110000000.0,0.59,0.0,1.12
2025-03-16,1,0,3,0,0,0.0,0.53,7110000000.0,0.59,0.0,1.12
2025-03-15,1,0,3,0,0,0.0,0.53,7110000000.0,0.59,0.0,1.12
2025-03-14,1,0,3,0,0,0.0,0.53,7110000000.0,0.59,0.0,1.12
2025-03-13,1,0,3,0,0,0.0,0.53,7110000000.0,0.61,0.0,1.1400000000000001
2025-03-12,1,0,3,0,0,0.0,0.53,7110000000.0,0.61,0.0,1.1400000000000001
2025-03-11,1,0,3,0,0,0.0,0.53,7110000000.0,0.62,0.0,1.15
2025-03-10,1,0,3,0,0,0.0,0.53,7110000000.0,0.64,0.0,1.17
