,<05,<1,<2,<5,>=5,FR,GB,JE,Market_capitalization,NL,US,Total
2025-05-05,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-05-04,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-05-03,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-05-02,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-05-01,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-30,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-29,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-28,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-27,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-26,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-25,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-24,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-23,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-22,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-21,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-20,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-19,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-18,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-17,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-16,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-15,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-14,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-13,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-12,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-11,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-10,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-09,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-08,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-07,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-06,True,False,False,False,False,0.0,0.0,0.0,2360000000.0,0.0,0.49,0.49
2025-04-05,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-04-04,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-04-03,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-04-02,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-04-01,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-31,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-30,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-29,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-28,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-27,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-26,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-25,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-24,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-23,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-22,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-21,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-20,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-19,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-18,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-17,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-16,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-15,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-14,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-13,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-12,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-11,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-10,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-09,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-08,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-07,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-06,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-05,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-04,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-03,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-02,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-03-01,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-02-28,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
2025-02-27,False,True,False,False,False,0.0,0.38,0.0,2360000000.0,0.0,0.49,0.87
