,-unknown-,<05,<1,<2,<5,>=5,GB,Market_capitalization,US,Total
2025-05-05,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-05-04,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-05-03,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-05-02,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-05-01,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-30,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-29,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-28,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-27,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-26,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-25,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-24,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-23,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-22,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-21,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-20,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-19,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-18,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-17,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-16,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-15,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-14,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-13,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-12,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-11,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-10,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-09,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-08,0.38,2,0,0,2,0,0.85,9807000000.0,1.81,3.04
2025-04-07,0.38,2,0,0,2,0,0.92,9807000000.0,1.85,3.1500000000000004
2025-04-06,0.38,2,0,0,2,0,0.92,9807000000.0,1.85,3.1500000000000004
2025-04-05,0.38,2,0,0,2,0,0.92,9807000000.0,1.85,3.1500000000000004
2025-04-04,0.38,2,0,0,2,0,0.92,9807000000.0,1.85,3.1500000000000004
2025-04-03,0.38,2,0,0,2,0,0.92,9807000000.0,1.88,3.1799999999999997
2025-04-02,0.38,2,0,0,2,0,0.92,9807000000.0,1.88,3.1799999999999997
2025-04-01,0.38,2,0,0,2,0,0.99,9807000000.0,1.88,3.25
2025-03-31,0.38,2,0,0,2,0,0.99,9807000000.0,1.78,3.1500000000000004
2025-03-30,0.38,2,0,0,2,0,0.99,9807000000.0,1.84,3.21
2025-03-29,0.38,2,0,0,2,0,0.99,9807000000.0,1.84,3.21
2025-03-28,0.38,2,0,0,2,0,0.99,9807000000.0,1.84,3.21
2025-03-27,0.38,2,0,0,2,0,0.99,9807000000.0,1.51,2.88
2025-03-26,0.38,2,0,0,2,0,0.99,9807000000.0,1.51,2.88
2025-03-25,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-24,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-23,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-22,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-21,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-20,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-19,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-18,0.38,2,0,0,2,0,1.05,9807000000.0,1.51,2.9400000000000004
2025-03-17,0.35,2,0,0,2,0,1.05,9807000000.0,1.51,2.91
2025-03-16,0.35,2,0,0,2,0,1.05,9807000000.0,1.51,2.91
2025-03-15,0.35,2,0,0,2,0,1.05,9807000000.0,1.51,2.91
2025-03-14,0.35,2,0,0,2,0,1.05,9807000000.0,1.51,2.91
2025-03-13,0.35,2,0,0,2,0,1.05,9807000000.0,1.51,2.91
2025-03-12,0.35,2,0,0,2,0,1.06,9807000000.0,1.51,2.92
2025-03-11,0.35,2,0,0,2,0,1.37,9807000000.0,1.82,3.54
2025-03-10,0.35,2,0,0,1,1,1.68,9807000000.0,1.82,3.8499999999999996
2025-03-09,0.35,2,0,0,1,1,1.76,9807000000.0,1.82,3.9299999999999997
2025-03-08,0.35,2,0,0,1,1,1.76,9807000000.0,1.82,3.9299999999999997
2025-03-07,0.35,2,0,0,1,1,1.76,9807000000.0,1.82,3.9299999999999997
2025-03-06,0.35,2,0,0,1,1,1.77,9807000000.0,1.83,3.95
2025-03-05,0.35,1,1,0,2,0,1.98,9807000000.0,1.44,3.77
2025-03-04,0.35,1,1,0,2,0,1.99,9807000000.0,1.44,3.78
2025-03-03,0.35,1,1,0,2,0,1.98,9807000000.0,1.44,3.77
2025-03-02,0.33,1,1,0,2,0,1.98,9807000000.0,1.44,3.75
2025-03-01,0.33,1,1,0,2,0,1.98,9807000000.0,1.44,3.75
2025-02-28,0.33,1,1,0,2,0,1.98,9807000000.0,1.44,3.75
2025-02-27,0.33,1,1,0,2,0,1.91,9807000000.0,1.44,3.6799999999999997
2025-02-26,0.33,1,1,0,2,0,1.91,9807000000.0,1.44,3.6799999999999997
2025-02-25,0.28,1,1,0,2,0,1.98,9807000000.0,1.44,3.6999999999999997
2025-02-24,0.26,1,1,0,2,0,1.98,9807000000.0,1.44,3.68
2025-02-23,0.26,1,1,0,2,0,1.98,9807000000.0,1.44,3.68
2025-02-22,0.26,1,1,0,2,0,1.98,9807000000.0,1.44,3.68
2025-02-21,0.26,1,1,0,2,0,1.98,9807000000.0,1.44,3.68
2025-02-20,0.26,1,1,0,2,0,1.98,9807000000.0,1.44,3.68
2025-02-19,0.26,1,1,0,2,0,1.65,9807000000.0,1.73,3.6399999999999997
2025-02-18,0.25,1,1,0,2,0,1.65,9807000000.0,1.73,3.63
2025-02-17,0.22,1,1,0,2,0,1.65,9807000000.0,1.73,3.5999999999999996
2025-02-16,0.22,1,1,0,1,1,1.73,9807000000.0,1.82,3.77
2025-02-15,0.22,1,1,0,1,1,1.73,9807000000.0,1.82,3.77
2025-02-14,0.22,1,1,0,1,1,1.73,9807000000.0,1.82,3.77
2025-02-13,0.22,1,1,0,1,1,1.73,9807000000.0,1.82,3.77
2025-02-12,0.22,0,2,0,1,1,1.74,9807000000.0,1.82,3.7800000000000002
2025-02-11,0.22,0,2,0,1,1,1.78,9807000000.0,1.82,3.8200000000000003
2025-02-10,0.22,0,2,0,1,1,1.78,9807000000.0,1.81,3.81
2025-02-09,0.2,1,1,0,1,1,1.77,9807000000.0,1.81,3.7800000000000002
2025-02-08,0.2,1,1,0,1,1,1.77,9807000000.0,1.81,3.7800000000000002
2025-02-07,0.2,1,1,0,1,1,1.77,9807000000.0,1.81,3.7800000000000002
2025-02-06,0.2,1,1,0,1,1,1.77,9807000000.0,1.81,3.7800000000000002
2025-02-05,0.18,1,1,1,0,1,1.83,9807000000.0,1.81,3.8200000000000003
2025-02-04,0.16,1,1,1,0,1,1.83,9807000000.0,1.81,3.8
2025-02-03,0.16,1,1,1,0,1,1.92,9807000000.0,1.81,3.89
2025-02-02,0.16,1,1,1,0,1,1.92,9807000000.0,1.83,3.91
2025-02-01,0.16,1,1,1,0,1,1.92,9807000000.0,1.83,3.91
2025-01-31,0.16,1,1,1,0,1,1.92,9807000000.0,1.83,3.91
2025-01-30,0.16,1,1,1,0,1,1.92,9807000000.0,1.83,3.91
2025-01-29,0.16,1,1,1,0,1,1.92,9807000000.0,1.77,3.85
2025-01-28,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-27,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-26,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-25,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-24,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-23,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-22,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-21,0.16,1,1,1,0,1,1.99,9807000000.0,1.77,3.92
2025-01-20,0.16,0,1,2,0,1,2.03,9807000000.0,1.77,3.96
2025-01-19,0.16,0,1,2,0,1,2.03,9807000000.0,1.77,3.96
2025-01-18,0.16,0,1,2,0,1,2.03,9807000000.0,1.77,3.96
2025-01-17,0.16,0,1,2,0,1,2.03,9807000000.0,1.77,3.96
2025-01-16,0.16,0,1,2,0,1,2.03,9807000000.0,1.77,3.96
2025-01-15,0.16,0,1,2,0,1,2.03,9807000000.0,1.77,3.96
2025-01-14,0.16,0,1,2,0,1,2.06,9807000000.0,1.44,3.66
2025-01-13,0.16,0,1,2,0,1,2.08,9807000000.0,1.44,3.68
2025-01-12,0.16,0,1,2,1,0,2.02,9807000000.0,1.37,3.5500000000000003
2025-01-11,0.16,0,1,2,1,0,2.02,9807000000.0,1.37,3.5500000000000003
2025-01-10,0.16,0,1,2,1,0,2.02,9807000000.0,1.37,3.5500000000000003
2025-01-09,0.16,0,1,2,1,0,2.02,9807000000.0,1.37,3.5500000000000003
2025-01-08,0.16,0,1,2,0,1,2.31,9807000000.0,1.37,3.8400000000000003
2025-01-07,0.16,0,1,2,0,1,2.29,9807000000.0,1.37,3.8200000000000003
2025-01-06,0.16,0,1,2,0,1,2.29,9807000000.0,1.37,3.8200000000000003
2025-01-05,0.16,0,1,2,0,1,2.33,9807000000.0,1.37,3.8600000000000003
2025-01-04,0.16,0,1,2,0,1,2.33,9807000000.0,1.37,3.8600000000000003
2025-01-03,0.16,0,1,2,0,1,2.33,9807000000.0,1.37,3.8600000000000003
2025-01-02,0.16,0,1,2,0,1,2.33,9807000000.0,1.37,3.8600000000000003
2025-01-01,0.16,0,1,2,0,1,2.33,9807000000.0,1.37,3.8600000000000003
2024-12-31,0.13,0,1,2,0,1,2.33,9905010000.0,1.35,3.81
2024-12-30,0.13,0,1,2,0,1,2.33,9905010000.0,1.35,3.81
2024-12-29,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-28,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-27,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-26,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-25,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-24,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-23,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-22,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-21,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
2024-12-20,0.13,0,1,2,0,1,2.32,9905010000.0,1.36,3.8099999999999996
