,<05,<1,<2,<5,>=5,GB,Market_capitalization,US,Total
2025-04-28,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-27,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-26,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-25,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-24,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-23,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-22,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-21,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-20,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-19,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-18,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-17,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-16,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-15,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-14,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-13,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-12,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-11,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-10,0,2,0,0,0,0.0,18960000000.0,0.67,0.67
2025-04-09,0,2,0,0,0,0.0,18960000000.0,0.69,0.69
2025-04-08,0,2,0,0,0,0.0,18960000000.0,0.69,0.69
2025-04-07,0,2,0,0,0,0.0,18960000000.0,0.69,0.69
2025-04-06,0,1,1,0,0,0.0,18960000000.0,0.72,0.72
2025-04-05,0,1,1,0,0,0.0,18960000000.0,0.72,0.72
2025-04-04,0,1,1,0,0,0.0,18960000000.0,0.72,0.72
2025-04-03,0,1,1,0,0,0.0,18960000000.0,0.72,0.72
2025-04-02,0,1,1,0,0,0.0,18960000000.0,0.75,0.75
2025-04-01,0,1,1,0,0,0.0,18960000000.0,0.76,0.76
2025-03-31,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-30,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-29,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-28,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-27,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-26,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-25,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-24,0,1,1,0,0,0.0,18960000000.0,0.8,0.8
2025-03-23,0,1,1,0,0,0.0,18960000000.0,0.81,0.81
2025-03-22,0,1,1,0,0,0.0,18960000000.0,0.81,0.81
2025-03-21,0,1,1,0,0,0.0,18960000000.0,0.81,0.81
2025-03-20,0,1,1,0,0,0.0,18960000000.0,0.76,0.76
2025-03-19,0,1,1,0,0,0.0,18960000000.0,0.76,0.76
2025-03-18,0,1,1,0,0,0.0,18960000000.0,0.76,0.76
