,-unknown-,<05,<1,<2,<5,>=5,CA,GB,Market_capitalization,NL,US,Total
2025-04-28,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-27,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-26,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-25,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-24,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-23,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-22,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-21,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-20,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-19,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-18,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-17,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-16,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-15,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-14,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-13,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-12,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-11,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-10,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-09,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-08,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.79,3.5
2025-04-07,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.71,3.42
2025-04-06,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.76,3.4699999999999998
2025-04-05,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.76,3.4699999999999998
2025-04-04,0.71,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.76,3.4699999999999998
2025-04-03,0.64,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.76,3.4
2025-04-02,0.64,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.86,3.5
2025-04-01,0.64,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.86,3.5
2025-03-31,0.6,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.86,3.46
2025-03-30,0.5,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.86,3.36
2025-03-29,0.5,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.86,3.36
2025-03-28,0.5,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.86,3.36
2025-03-27,0.0,2,0,0,1,0,0.0,0.0,1547390000.0,0.0,2.86,2.86
