,<05,<1,<2,<5,>=5,GB,HK,Market_capitalization,US,Total
2025-05-05,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-05-04,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-05-03,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-05-02,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-05-01,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-30,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-29,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-28,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-27,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-26,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-25,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-24,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-23,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-22,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-21,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-20,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-19,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-18,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-17,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-16,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-15,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-14,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-13,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-12,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-11,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-10,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-09,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-08,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-07,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-06,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-05,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-04,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-03,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-02,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-04-01,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-31,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-30,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-29,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-28,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-27,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-26,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-25,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-24,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-23,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-22,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-21,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-20,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-19,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-18,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-17,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-16,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-15,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-14,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-13,3,0,0,0,0,0.0,0.0,7161210000.0,0.0,0.0
2025-03-12,3,0,0,0,0,0.45,0.0,7161210000.0,0.0,0.45
2025-03-11,3,0,0,0,0,0.45,0.0,7161210000.0,0.0,0.45
2025-03-10,3,0,0,0,0,0.45,0.0,7161210000.0,0.0,0.45
2025-03-09,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-08,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-07,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-06,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-05,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-04,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-03,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-02,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-03-01,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-28,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-27,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-26,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-25,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-24,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-23,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-22,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-21,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-20,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-19,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-18,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-17,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-16,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-15,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-14,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-13,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-12,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-11,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-10,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-09,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-08,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-07,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-06,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-05,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-04,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-03,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-02,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-02-01,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-31,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-30,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-29,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-28,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-27,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-26,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-25,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-24,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-23,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-22,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-21,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-20,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-19,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-18,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-17,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-16,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-15,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-14,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-13,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-12,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-11,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-10,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-09,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-08,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-07,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-06,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-05,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-04,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-03,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-02,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2025-01-01,2,1,0,0,0,0.57,0.0,7161210000.0,0.0,0.57
2024-12-31,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-30,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-29,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-28,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-27,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-26,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-25,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-24,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-23,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-22,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-21,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-20,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-19,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-18,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-17,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-16,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-15,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-14,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-13,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-12,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-11,2,1,0,0,0,0.59,0.0,7120870000.0,0.0,0.59
2024-12-10,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-09,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-08,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-07,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-06,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-05,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-04,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-03,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-02,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-12-01,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-30,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-29,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-28,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-27,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-26,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-25,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-24,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-23,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-22,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-21,2,1,0,0,0,0.57,0.0,7120870000.0,0.0,0.57
2024-11-20,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-19,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-18,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-17,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-16,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-15,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-14,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-13,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-12,2,1,0,0,0,0.58,0.0,7120870000.0,0.0,0.58
2024-11-11,2,1,0,0,0,0.51,0.0,7120870000.0,0.0,0.51
2024-11-10,2,1,0,0,0,0.51,0.0,7120870000.0,0.0,0.51
2024-11-09,2,1,0,0,0,0.51,0.0,7120870000.0,0.0,0.51
2024-11-08,2,1,0,0,0,0.51,0.0,7120870000.0,0.0,0.51
2024-11-07,3,0,0,0,0,0.47,0.0,7120870000.0,0.0,0.47
2024-11-06,3,0,0,0,0,0.47,0.0,7120870000.0,0.0,0.47
2024-11-05,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-11-04,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-11-03,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-11-02,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-11-01,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-10-31,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-10-30,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-10-29,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-10-28,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
2024-10-27,2,1,0,0,0,0.5,0.0,7120870000.0,0.0,0.5
