,<05,<1,<2,<5,>=5,FR,GB,Market_capitalization,NL,US,Total
2025-04-28,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-27,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-26,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-25,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-24,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-23,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-22,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-21,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-20,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-19,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-18,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-17,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-16,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-15,0,1,2,0,0,0.06,0.95,35970000000.0,0.0,0.12,1.13
2025-04-14,0,1,2,0,0,0.06,0.95,35970000000.0,0.0,0.12,1.13
2025-04-13,0,1,2,0,0,0.06,0.95,35970000000.0,0.0,0.12,1.13
2025-04-12,0,1,2,0,0,0.06,0.95,35970000000.0,0.0,0.12,1.13
2025-04-11,0,1,2,0,0,0.06,0.95,35970000000.0,0.0,0.12,1.13
2025-04-10,0,1,2,0,0,0.06,0.95,35970000000.0,0.0,0.12,1.13
2025-04-09,0,1,2,0,0,0.06,0.96,35970000000.0,0.0,0.12,1.1400000000000001
2025-04-08,0,1,2,0,0,0.06,0.96,35970000000.0,0.0,0.12,1.1400000000000001
2025-04-07,0,1,2,0,0,0.06,0.96,35970000000.0,0.0,0.12,1.1400000000000001
2025-04-06,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-05,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-04,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-03,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-02,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-04-01,0,1,2,0,0,0.06,0.93,35970000000.0,0.0,0.12,1.1099999999999999
2025-03-31,0,1,2,0,0,0.05,0.93,35970000000.0,0.0,0.12,1.1
2025-03-30,0,1,2,0,0,0.05,0.93,35970000000.0,0.0,0.12,1.1
2025-03-29,0,1,2,0,0,0.05,0.93,35970000000.0,0.0,0.12,1.1
2025-03-28,0,1,2,0,0,0.05,0.93,35970000000.0,0.0,0.12,1.1
2025-03-27,0,1,2,0,0,0.05,0.93,35970000000.0,0.0,0.12,1.1
2025-03-26,0,1,2,0,0,0.05,0.93,35970000000.0,0.0,0.05,1.03
2025-03-25,0,1,2,0,0,0.05,0.93,35970000000.0,0.0,0.05,1.03
2025-03-24,0,1,2,0,0,0.0,0.93,35970000000.0,0.0,0.05,0.9800000000000001
2025-03-23,0,1,2,0,0,0.0,0.93,35970000000.0,0.0,0.05,0.9800000000000001
