,<05,<1,<2,<5,>=5,CA,GB,Market_capitalization,NL,US,Total
2025-05-08,0,0,2,0,0,0.0,0.91,16740000000.0,0.0,0.32,1.23
2025-05-07,0,0,2,0,0,0.0,0.91,16740000000.0,0.0,0.32,1.23
2025-05-06,0,0,2,0,0,0.0,0.91,16740000000.0,0.0,0.32,1.23
2025-05-05,0,0,2,0,0,0.0,0.91,16740000000.0,0.0,0.33,1.24
2025-05-04,0,0,2,0,0,0.0,0.91,16740000000.0,0.0,0.33,1.24
2025-05-03,0,0,2,0,0,0.0,0.91,16740000000.0,0.0,0.33,1.24
2025-05-02,0,0,2,0,0,0.0,0.91,16740000000.0,0.0,0.33,1.24
2025-05-01,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-30,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-29,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-28,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-27,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-26,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-25,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-24,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-23,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.33,1.29
2025-04-22,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-04-21,0,0,2,0,0,0.0,0.95,16740000000.0,0.0,0.32,1.27
2025-04-20,0,0,2,0,0,0.0,0.95,16740000000.0,0.0,0.32,1.27
2025-04-19,0,0,2,0,0,0.0,0.95,16740000000.0,0.0,0.32,1.27
2025-04-18,0,0,2,0,0,0.0,0.95,16740000000.0,0.0,0.32,1.27
2025-04-17,0,0,2,0,0,0.0,0.95,16740000000.0,0.0,0.32,1.27
2025-04-16,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-15,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-14,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-13,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-12,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-11,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-10,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-09,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-08,0,0,2,0,0,0.0,0.98,16740000000.0,0.0,0.32,1.3
2025-04-07,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-04-06,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-04-05,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-04-04,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-04-03,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-04-02,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-04-01,0,0,2,0,0,0.0,0.96,16740000000.0,0.0,0.32,1.28
2025-03-31,0,0,1,1,0,0.0,1.43,16740000000.0,0.0,0.32,1.75
2025-03-30,0,0,1,1,0,0.0,1.43,16740000000.0,0.0,0.32,1.75
2025-03-29,0,0,1,1,0,0.0,1.43,16740000000.0,0.0,0.32,1.75
2025-03-28,0,0,1,1,0,0.0,1.43,16740000000.0,0.0,0.32,1.75
2025-03-27,0,0,1,1,0,0.0,1.47,16740000000.0,0.0,0.33,1.8
2025-03-26,0,0,1,1,0,0.0,1.47,16740000000.0,0.0,0.33,1.8
2025-03-25,0,0,1,1,0,0.0,1.46,16740000000.0,0.0,0.33,1.79
2025-03-24,0,0,1,1,0,0.0,1.48,16740000000.0,0.0,0.32,1.8
2025-03-23,0,0,1,1,0,0.0,1.48,16740000000.0,0.0,0.32,1.8
2025-03-22,0,0,1,1,0,0.0,1.48,16740000000.0,0.0,0.32,1.8
2025-03-21,0,0,1,1,0,0.0,1.48,16740000000.0,0.0,0.32,1.8
2025-03-20,0,0,1,1,0,0.0,1.53,16740000000.0,0.0,0.32,1.85
2025-03-19,0,0,1,1,0,0.0,1.53,16740000000.0,0.0,0.32,1.85
2025-03-18,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-17,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-16,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-15,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-14,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-13,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-12,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-11,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-10,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-09,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-08,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-07,0,0,1,1,0,0.0,1.59,16740000000.0,0.0,0.32,1.9100000000000001
2025-03-06,0,0,1,1,0,0.0,1.54,16740000000.0,0.0,0.32,1.86
2025-03-05,0,0,1,1,0,0.0,1.54,16740000000.0,0.0,0.32,1.86
2025-03-04,0,0,1,1,0,0.0,1.54,16740000000.0,0.0,0.32,1.86
