,-unknown-,<05,<1,<2,<5,>=5,CA,FR,GB,IE,Market_capitalization,NL,US,Total
2025-05-05,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-05-04,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-05-03,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-05-02,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-05-01,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-30,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-29,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-28,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-27,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-26,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-25,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-24,0.06,5,0,0,2,0,0.06,0.03,0.18,0.0,44857270000.0,0.04,0.12,0.48999999999999994
2025-04-23,0.06,5,0,0,2,0,0.06,0.03,0.13,0.0,44857270000.0,0.04,0.13,0.45
2025-04-22,0.06,5,0,0,2,0,0.06,0.03,0.13,0.0,44857270000.0,0.04,0.11,0.43
2025-04-21,0.06,5,0,0,2,0,0.06,0.03,0.13,0.0,44857270000.0,0.04,0.11,0.43
2025-04-20,0.06,5,0,0,2,0,0.06,0.03,0.19,0.0,44857270000.0,0.04,0.11,0.48999999999999994
2025-04-19,0.06,5,0,0,2,0,0.06,0.03,0.19,0.0,44857270000.0,0.04,0.11,0.48999999999999994
2025-04-18,0.06,5,0,0,2,0,0.06,0.03,0.19,0.0,44857270000.0,0.04,0.11,0.48999999999999994
2025-04-17,0.06,5,0,0,2,0,0.06,0.03,0.19,0.0,44857270000.0,0.04,0.11,0.48999999999999994
2025-04-16,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.11,0.48
2025-04-15,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.11,0.48
2025-04-14,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.11,0.48
2025-04-13,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.11,0.48
2025-04-12,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.11,0.48
2025-04-11,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.11,0.48
2025-04-10,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.1,0.47
2025-04-09,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.1,0.47
2025-04-08,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.1,0.47
2025-04-07,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.1,0.47
2025-04-06,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.1,0.47
2025-04-05,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.1,0.47
2025-04-04,0.06,5,0,0,2,0,0.06,0.04,0.17,0.0,44857270000.0,0.04,0.1,0.47
2025-04-03,0.06,5,0,0,2,0,0.06,0.04,0.11,0.0,44857270000.0,0.04,0.1,0.41000000000000003
2025-04-02,0.06,5,0,0,2,0,0.06,0.04,0.11,0.0,44857270000.0,0.04,0.1,0.41000000000000003
2025-04-01,0.06,5,0,0,2,0,0.06,0.04,0.11,0.0,44857270000.0,0.04,0.1,0.41000000000000003
2025-03-31,0.06,5,0,0,2,0,0.06,0.04,0.12,0.0,41907270000.0,0.04,0.11,0.43
2025-03-30,0.06,5,0,0,2,0,0.06,0.04,0.12,0.0,41907270000.0,0.04,0.11,0.43
2025-03-29,0.06,5,0,0,2,0,0.06,0.04,0.12,0.0,41907270000.0,0.04,0.11,0.43
2025-03-28,0.06,5,0,0,2,0,0.06,0.04,0.12,0.0,41907270000.0,0.04,0.11,0.43
2025-03-27,0.1,5,0,0,2,0,0.06,0.04,0.12,0.0,41907270000.0,0.04,0.11,0.47
2025-03-26,0.04,5,0,1,1,0,0.06,0.04,0.12,0.0,41907270000.0,0.04,0.11,0.41
2025-03-25,0.04,5,0,1,1,0,0.06,0.04,0.12,0.0,41907270000.0,0.04,0.11,0.41
2025-03-24,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.11,0.47
2025-03-23,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.11,0.47
2025-03-22,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.11,0.47
2025-03-21,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.11,0.47
2025-03-20,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.11,0.47
2025-03-19,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.11,0.47
2025-03-18,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.11,0.47
2025-03-17,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.16,0.52
2025-03-16,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.16,0.52
2025-03-15,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.16,0.52
2025-03-14,0.04,5,0,0,2,0,0.06,0.04,0.18,0.0,41907270000.0,0.04,0.16,0.52
