,-unknown-,<05,<1,<2,<5,>=5,GB,IE,Market_capitalization,US,Total
2025-05-08,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-05-07,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-05-06,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-05-05,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-05-04,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-05-03,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-05-02,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-05-01,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-04-30,0.47,0,1,1,0,0,0.05,0.0,3709410000.0,1.07,1.59
2025-04-29,0.47,1,0,1,0,0,0.04,0.0,3709410000.0,1.16,1.67
2025-04-28,0.47,1,0,1,0,0,0.04,0.0,3709410000.0,1.16,1.67
2025-04-27,0.47,1,0,1,0,0,0.04,0.0,3709410000.0,1.16,1.67
2025-04-26,0.47,1,0,1,0,0,0.04,0.0,3709410000.0,1.16,1.67
2025-04-25,0.47,1,0,1,0,0,0.04,0.0,3709410000.0,1.16,1.67
2025-04-24,0.47,1,0,0,1,0,0.04,0.47,3709410000.0,1.16,2.1399999999999997
2025-04-23,0.47,1,0,0,1,0,0.04,0.47,3709410000.0,1.16,2.1399999999999997
2025-04-22,0.47,1,0,0,1,0,0.04,0.47,3709410000.0,1.16,2.1399999999999997
2025-04-21,0.47,0,1,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-20,0.47,0,1,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-19,0.47,0,1,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-18,0.47,0,1,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-17,0.47,0,1,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-16,0.47,1,0,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-15,0.47,1,0,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-14,0.47,1,0,0,1,0,0.05,0.47,3709410000.0,1.18,2.17
2025-04-13,0.0,1,0,1,0,0,0.05,0.47,3709410000.0,1.18,1.7
2025-04-12,0.0,1,0,1,0,0,0.05,0.47,3709410000.0,1.18,1.7
2025-04-11,0.0,1,0,1,0,0,0.05,0.47,3709410000.0,1.08,1.6
2025-04-10,0.0,0,1,1,0,0,0.06,0.47,3709410000.0,1.08,1.61
2025-04-09,0.0,0,1,1,0,0,0.06,0.47,3709410000.0,1.08,1.61
2025-04-08,0.0,0,1,1,0,0,0.06,0.47,3709410000.0,1.08,1.61
2025-04-07,0.0,0,1,1,0,0,0.06,0.47,3709410000.0,1.08,1.61
2025-04-06,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.05,3.2800000000000002
2025-04-05,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.05,3.2800000000000002
2025-04-04,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.05,3.2800000000000002
2025-04-03,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.15,3.38
2025-04-02,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.15,3.38
2025-04-01,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.15,3.38
2025-03-31,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.15,3.38
2025-03-30,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.15,3.38
2025-03-29,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.15,3.38
2025-03-28,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.15,3.38
2025-03-27,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.68,3.91
2025-03-26,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.68,3.91
2025-03-25,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.85,4.08
2025-03-24,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.85,4.08
2025-03-23,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.85,4.08
2025-03-22,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.85,4.08
2025-03-21,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.85,4.08
2025-03-20,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.94,4.17
2025-03-19,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.94,4.17
2025-03-18,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.94,4.17
2025-03-17,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.94,4.17
2025-03-16,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.94,4.17
2025-03-15,0.0,0,1,0,1,0,1.76,0.47,3709410000.0,1.94,4.17
2025-03-14,0.0,0,1,0,0,1,1.76,1.1,3709410000.0,1.94,4.800000000000001
2025-03-13,0.0,0,1,0,0,1,1.76,1.1,3709410000.0,1.96,4.82
2025-03-12,0.0,0,1,0,0,1,1.76,1.1,3709410000.0,1.96,4.82
2025-03-11,0.0,0,1,0,0,1,1.75,1.1,3709410000.0,2.05,4.9
2025-03-10,0.0,0,1,0,0,1,1.75,1.1,3709410000.0,2.05,4.9
2025-03-09,0.0,0,1,0,0,1,1.75,1.1,3709410000.0,1.97,4.82
2025-03-08,0.0,0,1,0,0,1,1.75,1.1,3709410000.0,1.97,4.82
2025-03-07,0.0,0,1,0,0,1,1.75,1.1,3709410000.0,1.97,4.82
2025-03-06,0.0,0,1,0,0,1,1.76,1.1,3709410000.0,1.97,4.83
2025-03-05,0.0,0,1,0,0,1,1.76,1.1,3709410000.0,1.97,4.83
2025-03-04,0.0,0,1,0,0,1,1.76,1.1,3709410000.0,1.87,4.73
2025-03-03,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.87,5.25
2025-03-02,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.96,5.34
2025-03-01,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.96,5.34
2025-02-28,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.96,5.34
2025-02-27,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.96,5.34
2025-02-26,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.89,5.27
2025-02-25,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.89,5.27
2025-02-24,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.99,5.37
2025-02-23,0.0,0,1,0,0,1,2.28,1.1,3709410000.0,1.52,4.9
2025-02-22,0.51,0,1,0,0,1,2.28,1.1,3709410000.0,1.52,5.41
2025-02-21,0.51,0,1,0,0,1,2.28,1.1,3709410000.0,1.52,5.41
2025-02-20,0.51,0,1,0,0,1,2.28,1.1,3709410000.0,1.52,5.41
2025-02-19,0.51,0,1,0,0,1,2.28,1.1,3709410000.0,1.52,5.41
2025-02-18,0.51,0,1,0,0,1,2.28,1.1,3709410000.0,1.52,5.41
2025-02-17,0.51,0,0,0,0,1,2.22,1.1,3709410000.0,1.52,5.3500000000000005
2025-02-16,0.51,0,0,0,0,1,2.22,1.1,3709410000.0,1.52,5.3500000000000005
2025-02-15,0.51,0,0,0,0,1,2.22,1.1,3709410000.0,1.52,5.3500000000000005
2025-02-14,0.51,0,0,0,0,1,2.22,1.1,3709410000.0,1.52,5.3500000000000005
2025-02-13,0.51,0,0,0,0,1,2.22,1.1,3709410000.0,1.61,5.44
