,<05,<1,<2,<5,>=5,GB,Market_capitalization,NL,US,Total
2025-04-28,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-27,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-26,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-25,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-24,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-23,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-22,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-21,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-20,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-19,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-18,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-17,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-16,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-15,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-14,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-13,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-12,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-11,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-10,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-09,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-08,1,1,1,0,0,0.03,20480000000.0,0.33,0.03,0.39
2025-04-07,1,2,0,0,0,0.0,20480000000.0,0.33,0.03,0.36
2025-04-06,1,2,0,0,0,0.0,20480000000.0,0.33,0.03,0.36
2025-04-05,1,2,0,0,0,0.0,20480000000.0,0.33,0.03,0.36
2025-04-04,1,2,0,0,0,0.0,20480000000.0,0.33,0.03,0.36
2025-04-03,1,2,0,0,0,0.0,20480000000.0,0.33,0.03,0.36
