,<05,<1,<2,<5,>=5,GB,Market_capitalization,US,Total
2025-05-08,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-05-07,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-05-06,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-05-05,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-05-04,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-05-03,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-05-02,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-05-01,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-04-30,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-04-29,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-04-28,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-04-27,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-04-26,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-04-25,0,1,1,0,0,0.28,19500000000.0,0.25,0.53
2025-04-24,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-23,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-22,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-21,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-20,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-19,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-18,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-17,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-16,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-15,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-14,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-13,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-12,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-11,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-10,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-09,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-08,0,0,1,0,0,0.25,19500000000.0,0.25,0.5
2025-04-07,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-04-06,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-04-05,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-04-04,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-04-03,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-04-02,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-04-01,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-31,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-30,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-29,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-28,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-27,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-26,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-25,0,1,0,0,0,0.25,19500000000.0,0.0,0.25
2025-03-24,0,1,0,0,0,0.25,19500000000.0,0.24,0.49
2025-03-23,1,0,0,0,0,0.0,19500000000.0,0.24,0.24
2025-03-22,1,0,0,0,0,0.0,19500000000.0,0.24,0.24
2025-03-21,1,0,0,0,0,0.0,19500000000.0,0.24,0.24
2025-03-20,1,0,0,0,0,0.0,19500000000.0,0.24,0.24
2025-03-19,0,1,0,0,0,0.0,19500000000.0,0.26,0.26
2025-03-18,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-17,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-16,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-15,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-14,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-13,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-12,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-11,0,0,0,0,0,0.0,19500000000.0,0.0,0.0
2025-03-10,1,0,0,0,0,0.21,19500000000.0,0.0,0.21
