,<05,<1,<2,<5,>=5,FR,GB,IE,Market_capitalization,US,Total
2025-05-05,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-05-04,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-05-03,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-05-02,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-05-01,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-30,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-29,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-28,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-27,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-26,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-25,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-24,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-23,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-22,0,0,2,0,0,0.5,0.94,0.0,2970020000.0,0.13,1.5699999999999998
2025-04-21,0,0,2,0,0,0.5,0.95,0.0,2970020000.0,0.13,1.58
2025-04-20,0,0,2,0,0,0.5,0.95,0.0,2970020000.0,0.13,1.58
2025-04-19,0,0,2,0,0,0.5,0.95,0.0,2970020000.0,0.13,1.58
2025-04-18,0,0,2,0,0,0.5,0.95,0.0,2970020000.0,0.13,1.58
2025-04-17,0,0,2,0,0,0.5,0.95,0.0,2970020000.0,0.13,1.58
2025-04-16,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-15,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-14,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-13,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-12,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-11,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-10,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-09,0,0,2,0,0,0.5,0.87,0.0,2970020000.0,0.13,1.5
2025-04-08,0,0,2,0,0,0.42,0.87,0.0,2970020000.0,0.13,1.42
2025-04-07,0,0,2,0,0,0.42,0.87,0.0,2970020000.0,0.13,1.42
2025-04-06,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.13,1.0
2025-04-05,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.13,1.0
2025-04-04,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.13,1.0
2025-04-03,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.11,0.98
2025-04-02,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.11,0.98
2025-04-01,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.1,0.97
2025-03-31,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.1,0.97
2025-03-30,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.1,0.97
2025-03-29,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.1,0.97
2025-03-28,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.1,0.97
2025-03-27,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.1,0.97
2025-03-26,0,1,1,0,0,0.0,0.87,0.0,2970020000.0,0.1,0.97
2025-03-25,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.1,0.95
2025-03-24,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.1,0.95
2025-03-23,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.1,0.95
2025-03-22,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.1,0.95
2025-03-21,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.1,0.95
2025-03-20,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.1,0.95
2025-03-19,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.1,0.95
2025-03-18,0,1,1,0,0,0.0,0.85,0.0,2970020000.0,0.09,0.94
2025-03-17,0,1,1,0,0,0.0,0.86,0.0,2970020000.0,0.09,0.95
2025-03-16,0,1,1,0,0,0.0,0.89,0.0,2970020000.0,0.09,0.98
2025-03-15,0,1,1,0,0,0.0,0.89,0.0,2970020000.0,0.09,0.98
2025-03-14,0,1,1,0,0,0.0,0.89,0.0,2970020000.0,0.09,0.98
2025-03-13,0,1,1,0,0,0.0,0.89,0.0,2970020000.0,0.09,0.98
2025-03-12,0,1,1,0,0,0.0,0.89,0.0,2970020000.0,0.09,0.98
2025-03-11,0,1,1,0,0,0.0,0.89,0.0,2970020000.0,0.09,0.98
2025-03-10,0,1,1,0,0,0.0,0.89,0.0,2970020000.0,0.09,0.98
2025-03-09,0,2,0,0,0,0.0,0.85,0.0,2970020000.0,0.0,0.85
2025-03-08,0,2,0,0,0,0.0,0.85,0.0,2970020000.0,0.0,0.85
2025-03-07,0,2,0,0,0,0.0,0.85,0.0,2970020000.0,0.0,0.85
2025-03-06,0,2,0,0,0,0.0,0.86,0.0,2970020000.0,0.0,0.86
2025-03-05,0,2,0,0,0,0.0,0.79,0.0,2970020000.0,0.0,0.79
2025-03-04,0,2,0,0,0,0.0,0.81,0.0,2970020000.0,0.0,0.81
2025-03-03,0,2,0,0,0,0.0,0.81,0.0,2970020000.0,0.0,0.81
2025-03-02,0,1,1,0,0,0.0,0.82,0.0,2970020000.0,0.0,0.82
2025-03-01,0,1,1,0,0,0.0,0.82,0.0,2970020000.0,0.0,0.82
2025-02-28,0,1,1,0,0,0.0,0.82,0.0,2970020000.0,0.0,0.82
2025-02-27,0,2,0,0,0,0.0,0.8,0.0,2970020000.0,0.0,0.8
2025-02-26,0,2,0,0,0,0.0,0.8,0.0,2970020000.0,0.0,0.8
2025-02-25,0,2,0,0,0,0.0,0.88,0.0,2970020000.0,0.0,0.88
2025-02-24,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-23,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-22,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-21,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-20,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-19,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-18,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-17,0,2,0,0,0,0.0,0.89,0.0,2970020000.0,0.0,0.89
2025-02-16,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-15,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-14,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-13,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-12,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-11,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-10,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-09,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-08,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-07,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-06,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-05,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-04,0,2,0,0,0,0.0,0.91,0.0,2970020000.0,0.0,0.91
2025-02-03,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.08,0.99
2025-02-02,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.08,0.99
