,-unknown-,<05,<1,<2,<5,>=5,AE,CA,FR,GB,JE,Market_capitalization,NL,US,Total
2025-05-08,0.0,0,0,1,0,1,0.0,0.0,0.0,3.34,0.0,2007030000.0,1.44,1.27,6.049999999999999
2025-05-07,0.0,0,0,1,0,1,0.0,0.0,0.0,3.34,0.0,2007030000.0,1.44,1.27,6.049999999999999
2025-05-06,0.0,0,0,1,0,1,0.0,0.0,0.0,3.34,0.0,2007030000.0,1.44,1.27,6.049999999999999
2025-05-05,0.0,0,0,1,0,1,0.0,0.0,0.0,3.44,0.0,2007030000.0,1.44,1.2,6.08
2025-05-04,0.0,0,0,1,0,1,0.0,0.0,0.0,3.44,0.0,2007030000.0,1.44,1.1,5.98
2025-05-03,0.0,0,0,1,0,1,0.0,0.0,0.0,3.44,0.0,2007030000.0,1.44,1.1,5.98
2025-05-02,0.0,0,0,1,0,1,0.0,0.0,0.0,3.44,0.0,2007030000.0,1.44,1.1,5.98
2025-05-01,0.0,0,0,1,0,1,0.0,0.0,0.0,3.58,0.0,2007030000.0,1.44,1.1,6.119999999999999
2025-04-30,0.0,0,0,1,0,1,0.0,0.0,0.0,3.58,0.0,2007030000.0,1.44,1.1,6.119999999999999
2025-04-29,0.0,0,0,1,0,1,0.0,0.0,0.0,3.58,0.0,2007030000.0,1.44,1.44,6.459999999999999
2025-04-28,0.0,0,0,1,0,1,0.0,0.0,0.0,3.67,0.0,2007030000.0,1.44,1.41,6.52
2025-04-27,0.0,0,0,1,0,1,0.0,0.0,0.0,3.59,0.0,2007030000.0,1.44,1.34,6.369999999999999
2025-04-26,0.0,0,0,1,0,1,0.0,0.0,0.0,3.59,0.0,2007030000.0,1.44,1.34,6.369999999999999
2025-04-25,0.0,0,0,1,0,1,0.0,0.0,0.0,3.59,0.0,2007030000.0,1.44,1.34,6.369999999999999
2025-04-24,0.0,0,0,1,0,1,0.0,0.0,0.0,3.59,0.0,2007030000.0,1.44,1.29,6.319999999999999
2025-04-23,0.0,0,0,1,0,1,0.0,0.0,0.0,3.59,0.0,2007030000.0,1.44,1.2,6.2299999999999995
2025-04-22,0.0,0,0,1,0,1,0.0,0.0,0.0,3.7,0.0,2007030000.0,1.44,1.13,6.2700000000000005
2025-04-21,0.0,0,0,1,0,1,0.0,0.0,0.0,3.78,0.0,2007030000.0,1.44,1.09,6.31
2025-04-20,0.0,0,0,1,0,1,0.0,0.0,0.0,3.78,0.0,2007030000.0,1.44,1.09,6.31
2025-04-19,0.0,0,0,1,0,1,0.0,0.0,0.0,3.78,0.0,2007030000.0,1.44,1.09,6.31
2025-04-18,0.0,0,0,1,0,1,0.0,0.0,0.0,3.78,0.0,2007030000.0,1.44,1.09,6.31
2025-04-17,0.0,0,0,1,0,1,0.0,0.0,0.0,3.78,0.0,2007030000.0,1.44,1.09,6.31
2025-04-16,0.0,0,0,1,0,1,0.0,0.0,0.0,3.78,0.0,2007030000.0,1.44,1.07,6.29
2025-04-15,0.0,0,0,1,0,1,0.0,0.0,0.0,3.84,0.0,2007030000.0,1.44,1.07,6.35
2025-04-14,0.0,0,0,1,0,1,0.0,0.0,0.0,3.84,0.0,2007030000.0,1.44,1.07,6.35
2025-04-13,0.0,0,0,1,0,1,0.0,0.0,0.0,3.89,0.0,2007030000.0,1.44,1.07,6.4
2025-04-12,0.0,0,0,1,0,1,0.0,0.0,0.0,3.89,0.0,2007030000.0,1.44,1.07,6.4
2025-04-11,0.0,0,0,1,0,1,0.0,0.0,0.0,3.89,0.0,2007030000.0,1.44,1.07,6.4
2025-04-10,0.0,0,0,1,0,1,0.0,0.0,0.0,3.89,0.0,2007030000.0,1.44,1.09,6.42
2025-04-09,0.0,0,0,1,0,1,0.0,0.0,0.0,3.89,0.0,2007030000.0,1.44,1.09,6.42
2025-04-08,0.0,0,0,1,0,1,0.0,0.0,0.0,4.11,0.0,2007030000.0,1.44,1.15,6.700000000000001
2025-04-07,0.0,0,0,1,0,1,0.0,0.0,0.0,4.13,0.0,2007030000.0,1.44,1.15,6.720000000000001
2025-04-06,0.0,0,0,1,0,1,0.0,0.0,0.0,4.11,0.0,2007030000.0,1.44,0.86,6.410000000000001
2025-04-05,0.0,0,0,1,0,1,0.0,0.0,0.0,4.11,0.0,2007030000.0,1.44,0.86,6.410000000000001
2025-04-04,0.0,0,0,1,0,1,0.0,0.0,0.0,4.39,0.0,2007030000.0,1.44,0.86,6.69
2025-04-03,0.0,0,0,1,0,1,0.0,0.0,0.0,4.25,0.0,2007030000.0,1.44,0.94,6.629999999999999
2025-04-02,0.0,0,0,1,0,1,0.0,0.0,0.0,4.25,0.0,2007030000.0,1.44,1.01,6.699999999999999
2025-04-01,0.0,0,1,0,0,1,0.0,0.0,0.0,4.02,0.0,2007030000.0,1.44,1.01,6.469999999999999
2025-03-31,0.0,0,1,0,0,1,0.0,0.0,0.0,4.39,0.0,2007030000.0,1.44,1.08,6.91
2025-03-30,0.0,0,1,0,0,1,0.0,0.0,0.0,4.59,0.0,2007030000.0,1.44,1.08,7.109999999999999
2025-03-29,0.0,0,1,0,0,1,0.0,0.0,0.0,4.59,0.0,2007030000.0,1.44,1.08,7.109999999999999
2025-03-28,0.0,0,1,0,0,1,0.0,0.0,0.0,4.59,0.0,2007030000.0,1.44,1.08,7.109999999999999
2025-03-27,0.0,0,1,0,0,1,0.0,0.0,0.0,4.66,0.0,2007030000.0,1.44,1.13,7.2299999999999995
2025-03-26,0.0,0,1,0,0,1,0.0,0.0,0.0,4.77,0.0,2007030000.0,1.44,1.13,7.339999999999999
2025-03-25,0.0,0,1,0,0,1,0.0,0.0,0.0,4.95,0.0,2007030000.0,1.44,1.13,7.5200000000000005
2025-03-24,0.0,0,1,0,0,1,0.0,0.0,0.0,5.13,0.0,2007030000.0,1.44,1.23,7.800000000000001
2025-03-23,0.0,0,1,0,0,1,0.0,0.0,0.0,5.23,0.0,2007030000.0,1.44,1.23,7.9
2025-03-22,0.0,0,1,0,0,1,0.0,0.0,0.0,5.23,0.0,2007030000.0,1.44,1.23,7.9
2025-03-21,0.0,0,1,0,0,1,0.0,0.0,0.0,5.23,0.0,2007030000.0,1.44,1.23,7.9
2025-03-20,0.0,0,1,0,0,1,0.0,0.0,0.0,5.12,0.0,2007030000.0,1.51,1.24,7.87
2025-03-19,0.0,0,1,0,0,1,0.0,0.0,0.0,5.35,0.0,2007030000.0,1.72,1.23,8.299999999999999
2025-03-18,0.0,0,1,0,0,1,0.0,0.0,0.0,5.41,0.0,2007030000.0,1.72,1.23,8.36
2025-03-17,0.0,0,1,0,0,1,0.0,0.0,0.0,5.57,0.0,2007030000.0,1.72,1.23,8.52
2025-03-16,0.0,0,1,0,0,1,0.0,0.0,0.0,5.57,0.0,2007030000.0,1.72,1.23,8.52
2025-03-15,0.0,0,1,0,0,1,0.0,0.0,0.0,5.57,0.0,2007030000.0,1.72,1.23,8.52
2025-03-14,0.0,0,0,1,0,1,0.0,0.0,0.0,5.72,0.0,2007030000.0,1.72,1.23,8.67
2025-03-13,0.0,0,0,1,0,1,0.0,0.0,0.0,6.09,0.0,2007030000.0,1.9,1.24,9.23
2025-03-12,0.0,0,0,1,0,1,0.0,0.0,0.0,5.97,0.0,2007030000.0,1.9,1.19,9.059999999999999
