,-unknown-,<05,<1,<2,<5,>=5,CA,GB,JE,Market_capitalization,NL,US,Total
2025-04-28,0.4,0,0,1,2,0,0.16,0.45,0.2,3648140000.0,0.0,1.38,2.59
2025-04-27,0.4,0,0,1,2,0,0.16,0.45,0.2,3648140000.0,0.0,1.38,2.59
2025-04-26,0.4,0,0,1,2,0,0.16,0.45,0.2,3648140000.0,0.0,1.38,2.59
2025-04-25,0.4,0,0,1,2,0,0.16,0.45,0.2,3648140000.0,0.0,1.38,2.59
2025-04-24,0.4,0,0,1,2,0,0.16,0.45,0.2,3648140000.0,0.0,1.38,2.59
2025-04-23,0.4,0,0,1,2,0,0.16,0.45,0.2,3648140000.0,0.0,1.38,2.59
2025-04-22,0.4,0,0,1,2,0,0.16,0.47,0.2,3648140000.0,0.0,1.4,2.63
2025-04-21,0.4,0,0,1,2,0,0.16,0.47,0.2,3648140000.0,0.0,1.4,2.63
2025-04-20,0.4,0,0,1,2,0,0.16,0.47,0.2,3648140000.0,0.0,1.4,2.63
2025-04-19,0.4,0,0,1,2,0,0.16,0.47,0.2,3648140000.0,0.0,1.4,2.63
2025-04-18,0.4,0,0,1,2,0,0.16,0.47,0.2,3648140000.0,0.0,1.4,2.63
2025-04-17,0.4,0,0,1,2,0,0.16,0.47,0.2,3648140000.0,0.0,1.4,2.63
2025-04-16,0.4,0,0,1,2,0,0.16,0.47,0.2,3648140000.0,0.0,1.4,2.63
2025-04-15,0.4,0,0,1,2,0,0.16,0.42,0.2,3648140000.0,0.0,1.4,2.58
2025-04-14,0.4,0,0,1,2,0,0.16,0.42,0.2,3648140000.0,0.0,1.4,2.58
2025-04-13,0.4,0,0,1,2,0,0.16,0.42,0.2,3648140000.0,0.0,1.4,2.58
2025-04-12,0.4,0,0,1,2,0,0.16,0.42,0.2,3648140000.0,0.0,1.4,2.58
2025-04-11,0.4,0,0,1,2,0,0.16,0.66,0.2,3648140000.0,0.0,1.4,2.8200000000000003
2025-04-10,0.4,0,0,2,1,0,0.16,0.63,0.2,3648140000.0,0.0,1.38,2.7699999999999996
2025-04-09,0.4,0,0,2,1,0,0.16,0.61,0.21,3648140000.0,0.0,1.39,2.7699999999999996
2025-04-08,0.4,0,0,2,1,0,0.16,0.66,0.21,3648140000.0,0.0,1.38,2.81
2025-04-07,0.4,0,0,2,1,0,0.16,0.71,0.21,3648140000.0,0.0,1.38,2.86
2025-04-06,0.4,0,0,1,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.38,2.6799999999999997
2025-04-05,0.4,0,0,1,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.38,2.6799999999999997
2025-04-04,0.4,0,0,1,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.38,2.6799999999999997
2025-04-03,0.4,0,0,1,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.37,2.67
2025-04-02,0.4,0,0,1,2,0,0.16,0.58,0.17,3648140000.0,0.0,1.39,2.7
2025-04-01,0.4,0,0,1,2,0,0.16,0.58,0.17,3648140000.0,0.0,1.37,2.68
2025-03-31,0.4,0,0,1,2,0,0.16,0.58,0.17,3648140000.0,0.0,1.37,2.68
2025-03-30,0.4,0,0,1,2,0,0.16,0.58,0.17,3648140000.0,0.0,1.38,2.69
2025-03-29,0.4,0,0,1,2,0,0.16,0.58,0.17,3648140000.0,0.0,1.38,2.69
2025-03-28,0.4,0,0,1,2,0,0.16,0.58,0.17,3648140000.0,0.0,1.38,2.69
2025-03-27,0.4,0,1,0,2,0,0.16,0.49,0.17,3648140000.0,0.0,1.37,2.59
2025-03-26,0.4,0,1,0,2,0,0.16,0.53,0.17,3648140000.0,0.0,1.61,2.87
2025-03-25,0.4,0,1,0,2,0,0.16,0.53,0.17,3648140000.0,0.0,1.61,2.87
2025-03-24,0.4,0,1,0,2,0,0.16,0.53,0.17,3648140000.0,0.0,1.64,2.9
2025-03-23,0.4,0,1,0,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.7,3.0
2025-03-22,0.4,0,1,0,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.7,3.0
2025-03-21,0.4,0,1,0,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.7,3.0
2025-03-20,0.4,0,1,0,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.7,3.0
2025-03-19,0.4,0,1,0,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.7,3.0
2025-03-18,0.4,0,1,0,2,0,0.16,0.57,0.17,3648140000.0,0.0,1.7,3.0
2025-03-17,0.4,0,1,0,2,0,0.16,0.63,0.17,3648140000.0,0.0,1.72,3.08
2025-03-16,0.4,0,1,0,2,0,0.16,0.63,0.17,3648140000.0,0.0,1.72,3.08
