,<05,<1,<2,<5,>=5,GB,IT,JE,Market_capitalization,NL,US,Total
2025-04-28,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-27,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-26,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-25,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-24,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-23,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-22,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-21,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-20,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-19,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-18,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-17,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-16,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-15,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-14,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-13,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-12,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-11,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-10,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-09,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.33,1.4300000000000002
2025-04-08,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.32,1.4200000000000002
2025-04-07,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.31,1.4100000000000001
2025-04-06,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.23,1.33
2025-04-05,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.23,1.33
2025-04-04,1,0,1,1,0,0.2,0.75,0.13,9630000000.0,0.08,0.23,1.3900000000000001
2025-04-03,1,0,1,1,0,0.2,0.75,0.13,9630000000.0,0.08,0.21,1.37
2025-04-02,1,0,1,1,0,0.2,0.75,0.13,9630000000.0,0.08,0.21,1.37
2025-04-01,1,0,1,1,0,0.22,0.75,0.13,9630000000.0,0.08,0.21,1.3900000000000001
2025-03-31,1,0,1,1,0,0.22,0.75,0.13,9630000000.0,0.08,0.21,1.3900000000000001
2025-03-30,1,0,1,1,0,0.22,0.75,0.13,9630000000.0,0.08,0.21,1.3900000000000001
2025-03-29,1,0,1,1,0,0.22,0.75,0.13,9630000000.0,0.08,0.21,1.3900000000000001
2025-03-28,1,0,1,1,0,0.22,0.75,0.13,9630000000.0,0.08,0.21,1.3900000000000001
2025-03-27,1,0,1,1,0,0.22,0.75,0.13,9630000000.0,0.08,0.21,1.3900000000000001
2025-03-26,1,0,1,1,0,0.14,0.75,0.13,9630000000.0,0.08,0.21,1.31
2025-03-25,1,0,1,1,0,0.14,0.75,0.12,9630000000.0,0.08,0.21,1.3
2025-03-24,1,0,1,1,0,0.14,0.75,0.12,9630000000.0,0.08,0.21,1.3
2025-03-23,1,0,1,1,0,0.14,0.75,0.12,9630000000.0,0.08,0.21,1.3
2025-03-22,1,0,1,1,0,0.14,0.75,0.12,9630000000.0,0.08,0.21,1.3
2025-03-21,1,0,1,1,0,0.14,0.75,0.12,9630000000.0,0.08,0.21,1.3
2025-03-20,1,0,1,1,0,0.14,0.75,0.12,9630000000.0,0.08,0.21,1.3
2025-03-19,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-18,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-17,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-16,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-15,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-14,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-13,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-12,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.21,1.36
2025-03-11,1,0,1,1,0,0.14,0.81,0.12,9630000000.0,0.08,0.14,1.29
2025-03-10,1,0,1,1,0,0.15,0.81,0.12,9630000000.0,0.08,0.14,1.3000000000000003
2025-03-09,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.08,0.14,1.31
2025-03-08,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.08,0.14,1.31
2025-03-07,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.08,0.14,1.31
2025-03-06,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.08,0.14,1.31
2025-03-05,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-04,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-03,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-02,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-01,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-02-28,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
