,-unknown-,<05,<1,<2,<5,>=5,CA,FR,GB,IE,JE,Market_capitalization,US,Total
2025-04-28,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.12,5.44
2025-04-27,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.12,5.44
2025-04-26,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.12,5.44
2025-04-25,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.12,5.44
2025-04-24,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.12,5.44
2025-04-23,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.12,5.44
2025-04-22,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.2,5.5200000000000005
2025-04-21,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.24,5.5600000000000005
2025-04-20,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.24,5.5600000000000005
2025-04-19,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.24,5.5600000000000005
2025-04-18,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.24,5.5600000000000005
2025-04-17,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.24,5.5600000000000005
2025-04-16,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.24,5.5600000000000005
2025-04-15,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.12,5.44
2025-04-14,0.0,False,False,False,False,True,0.49,0.0,1.34,0.0,0.49,529170000.0,3.07,5.390000000000001
2025-04-13,0.0,False,False,False,False,True,0.49,0.0,1.28,0.0,0.49,529170000.0,2.95,5.21
2025-04-12,0.0,False,False,False,False,True,0.49,0.0,1.28,0.0,0.49,529170000.0,2.95,5.21
2025-04-11,0.0,False,False,False,False,True,0.49,0.0,1.28,0.0,0.49,529170000.0,2.95,5.21
2025-04-10,0.0,False,False,False,True,False,0.49,0.0,1.28,0.0,0.49,529170000.0,2.26,4.52
2025-04-09,0.0,False,False,False,True,False,0.49,0.0,1.19,0.0,0.49,529170000.0,2.17,4.34
2025-04-08,0.0,False,False,False,True,False,0.49,0.0,0.62,0.0,0.49,529170000.0,2.04,3.6399999999999997
2025-04-07,0.0,False,False,False,True,False,0.49,0.0,0.62,0.0,0.49,529170000.0,1.95,3.55
2025-04-06,0.0,False,False,False,True,False,0.49,0.0,0.62,0.0,0.49,529170000.0,1.95,3.55
2025-04-05,0.0,False,False,False,True,False,0.49,0.0,0.62,0.0,0.49,529170000.0,1.95,3.55
2025-04-04,0.0,False,False,False,True,False,0.49,0.0,0.62,0.0,0.49,529170000.0,1.95,3.55
2025-04-03,0.0,False,False,False,True,False,0.49,0.0,0.62,0.0,0.49,529170000.0,1.95,3.55
2025-04-02,0.0,False,False,False,True,False,0.54,0.0,0.62,0.0,0.49,529170000.0,1.95,3.6
2025-04-01,0.0,False,False,False,True,False,0.68,0.0,0.62,0.0,0.49,529170000.0,1.9,3.69
2025-03-31,0.0,False,False,False,True,False,0.68,0.0,0.62,0.0,0.49,529170000.0,1.97,3.76
2025-03-30,0.0,False,False,False,True,False,0.79,0.0,0.62,0.0,0.49,529170000.0,1.94,3.84
2025-03-29,0.0,False,False,False,True,False,0.79,0.0,0.62,0.0,0.49,529170000.0,1.94,3.84
2025-03-28,0.0,False,False,False,True,False,0.79,0.0,0.62,0.0,0.49,529170000.0,1.94,3.84
2025-03-27,0.0,False,False,False,True,False,0.79,0.0,0.62,0.0,0.49,529170000.0,1.94,3.84
2025-03-26,0.0,False,False,False,True,False,0.79,0.0,0.62,0.0,0.49,529170000.0,1.88,3.7800000000000002
2025-03-25,0.0,False,False,False,True,False,0.89,0.0,0.62,0.0,0.49,529170000.0,1.9,3.9
2025-03-24,0.0,False,False,False,True,False,0.89,0.0,0.62,0.0,0.49,529170000.0,1.91,3.91
2025-03-23,0.0,False,False,False,True,False,0.89,0.0,0.62,0.0,0.49,529170000.0,1.85,3.85
2025-03-22,0.0,False,False,False,True,False,0.89,0.0,0.62,0.0,0.49,529170000.0,1.85,3.85
2025-03-21,0.0,False,False,False,True,False,0.89,0.0,0.62,0.0,0.49,529170000.0,1.85,3.85
2025-03-20,0.0,False,False,False,True,False,0.89,0.0,0.62,0.57,0.49,529170000.0,2.32,4.890000000000001
2025-03-19,0.0,False,False,False,True,False,0.89,0.0,0.62,0.0,0.49,529170000.0,2.27,4.27
2025-03-18,0.0,False,False,False,True,False,0.89,0.0,0.62,0.0,0.49,529170000.0,2.36,4.359999999999999
2025-03-17,0.0,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,2.36,4.459999999999999
2025-03-16,0.0,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,2.36,4.459999999999999
2025-03-15,0.0,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,2.36,4.459999999999999
2025-03-14,0.0,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,2.36,4.459999999999999
2025-03-13,0.0,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,2.36,4.459999999999999
2025-03-12,0.0,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,2.36,4.459999999999999
2025-03-11,0.0,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,1.77,3.8699999999999997
2025-03-10,0.39,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,1.26,3.75
2025-03-09,0.39,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,1.36,3.8500000000000005
2025-03-08,0.39,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,1.36,3.8500000000000005
2025-03-07,0.39,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,1.36,3.8500000000000005
2025-03-06,0.39,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,1.36,3.8500000000000005
2025-03-05,0.39,False,False,False,True,False,0.99,0.0,0.62,0.0,0.49,529170000.0,1.45,3.9400000000000004
2025-03-04,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.49,529170000.0,1.45,4.03
2025-03-03,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-03-02,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-03-01,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-28,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-27,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-26,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-25,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-24,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-23,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-22,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-21,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.49,529170000.0,1.45,3.99
2025-02-20,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.59,529170000.0,1.45,4.09
2025-02-19,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.59,529170000.0,1.53,4.17
2025-02-18,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.59,529170000.0,1.53,4.17
2025-02-17,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.59,529170000.0,1.53,4.17
2025-02-16,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.59,529170000.0,1.53,4.17
2025-02-15,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.59,529170000.0,1.53,4.17
2025-02-14,0.39,False,False,False,True,False,0.99,0.0,0.67,0.0,0.59,529170000.0,1.53,4.17
2025-02-13,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.59,529170000.0,1.66,4.34
2025-02-12,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.59,529170000.0,1.66,4.34
2025-02-11,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.59,529170000.0,1.66,4.34
2025-02-10,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.59,529170000.0,1.66,4.34
2025-02-09,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.59,529170000.0,1.66,4.34
2025-02-08,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.59,529170000.0,1.66,4.34
2025-02-07,0.39,False,False,False,True,False,0.99,0.0,0.71,0.0,0.59,529170000.0,1.66,4.34
