,<05,<1,<2,<5,>=5,CA,GB,Market_capitalization,NL,US,Total
2025-05-05,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-05-04,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-05-03,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-05-02,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-05-01,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-30,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-29,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-28,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-27,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-26,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-25,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-24,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-23,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-22,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-21,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-20,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-19,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-18,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-17,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-16,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-15,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-14,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-13,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-12,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-11,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-10,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-09,0,2,1,1,0,0.0,1.2,21530000000.0,0.0,0.13,1.33
2025-04-08,0,2,1,1,0,0.0,1.22,21530000000.0,0.0,0.22,1.44
2025-04-07,0,2,1,1,0,0.0,1.22,21530000000.0,0.0,0.22,1.44
2025-04-06,0,2,1,1,0,0.0,1.24,21530000000.0,0.0,0.22,1.46
2025-04-05,0,2,1,1,0,0.0,1.24,21530000000.0,0.0,0.22,1.46
2025-04-04,0,2,1,1,0,0.0,1.24,21530000000.0,0.0,0.22,1.46
