,-unknown-,<05,<1,<2,<5,>=5,CA,FR,GB,JE,Market_capitalization,NL,US,Total
2025-05-05,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-05-04,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-05-03,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-05-02,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-05-01,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-30,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-29,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-28,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-27,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-26,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-25,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-24,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-23,0.13,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.8
2025-04-22,0.1,1,4,1,2,1,0.0,0.0,1.01,0.0,53662590000.0,0.12,0.53,1.76
2025-04-21,0.1,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.7700000000000002
2025-04-20,0.1,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.7700000000000002
2025-04-19,0.1,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.7700000000000002
2025-04-18,0.1,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.7700000000000002
2025-04-17,0.1,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.7700000000000002
2025-04-16,0.1,1,4,1,2,1,0.0,0.0,1.02,0.0,53662590000.0,0.12,0.53,1.7700000000000002
2025-04-15,0.1,1,4,1,2,1,0.0,0.0,1.07,0.0,53662590000.0,0.12,0.57,1.8599999999999999
2025-04-14,0.11,1,4,1,2,1,0.0,0.0,1.1,0.0,53662590000.0,0.11,0.57,1.8900000000000001
2025-04-13,0.11,1,4,1,2,1,0.0,0.0,1.1,0.0,53662590000.0,0.11,0.57,1.8900000000000001
2025-04-12,0.11,1,4,1,2,1,0.0,0.0,1.1,0.0,53662590000.0,0.11,0.57,1.8900000000000001
2025-04-11,0.11,1,4,1,2,1,0.0,0.0,1.1,0.0,53662590000.0,0.11,0.57,1.8900000000000001
2025-04-10,0.1,1,4,1,2,1,0.0,0.0,1.1,0.0,53662590000.0,0.11,0.57,1.8800000000000003
2025-04-09,0.1,1,4,1,2,1,0.0,0.0,1.08,0.0,53662590000.0,0.11,0.57,1.8600000000000003
2025-04-08,0.1,1,4,1,2,1,0.0,0.0,1.09,0.0,53662590000.0,0.11,0.55,1.8500000000000003
2025-04-07,0.1,1,5,0,2,1,0.0,0.0,1.11,0.0,53662590000.0,0.11,0.51,1.8300000000000003
2025-04-06,0.09,1,5,0,2,1,0.0,0.0,1.11,0.0,53662590000.0,0.11,0.51,1.8200000000000003
2025-04-05,0.09,1,5,0,2,1,0.0,0.0,1.11,0.0,53662590000.0,0.11,0.51,1.8200000000000003
2025-04-04,0.09,1,5,0,2,1,0.0,0.0,1.11,0.0,53662590000.0,0.11,0.51,1.8200000000000003
2025-04-03,0.09,1,5,0,2,1,0.0,0.0,1.11,0.0,53662590000.0,0.11,0.38,1.6900000000000004
2025-04-02,0.09,1,4,1,2,1,0.0,0.0,1.13,0.0,53662590000.0,0.1,0.38,1.7000000000000002
2025-04-01,0.09,1,4,1,2,1,0.0,0.0,1.13,0.0,53662590000.0,0.1,0.34,1.6600000000000001
2025-03-31,0.09,1,4,1,2,1,0.0,0.0,1.15,0.0,53662590000.0,0.1,0.34,1.6800000000000002
2025-03-30,0.09,1,4,1,2,1,0.0,0.0,1.14,0.0,53662590000.0,0.1,0.34,1.6700000000000002
2025-03-29,0.09,1,4,1,2,1,0.0,0.0,1.14,0.0,53662590000.0,0.1,0.34,1.6700000000000002
2025-03-28,0.09,1,4,1,2,1,0.0,0.0,1.14,0.0,53662590000.0,0.1,0.34,1.6700000000000002
2025-03-27,0.09,1,4,1,2,1,0.0,0.0,1.08,0.0,53662590000.0,0.1,0.34,1.6100000000000003
