,-unknown-,<05,<1,<2,<5,>=5,CA,FR,GB,HK,IE,IT,JE,Market_capitalization,US,Total
2025-05-08,0.02,0,2,2,3,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.17,0.26
2025-05-07,0.02,0,2,2,3,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.17,0.26
2025-05-06,0.02,0,2,2,3,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.17,0.26
2025-05-05,0.02,0,2,2,3,0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,71202430000.0,0.17,0.25
2025-05-04,0.02,0,2,2,3,0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,71202430000.0,0.17,0.25
2025-05-03,0.02,0,2,2,3,0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,71202430000.0,0.17,0.25
2025-05-02,0.02,0,2,2,3,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.17,0.28
2025-05-01,0.02,0,2,3,2,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.25
2025-04-30,0.02,0,2,3,2,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.25
2025-04-29,0.02,0,2,3,2,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.25
2025-04-28,0.02,0,2,3,2,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.25
2025-04-27,0.02,0,2,3,2,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.25
2025-04-26,0.02,0,2,3,2,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.25
2025-04-25,0.02,0,2,3,2,0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.25
2025-04-24,0.02,0,2,2,3,0,0.0,0.0,0.09,0.01,0.0,0.0,0.0,71202430000.0,0.14,0.26
2025-04-23,0.02,0,2,3,2,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.22
2025-04-22,0.02,0,2,3,2,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.22
2025-04-21,0.02,0,2,3,2,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.22
2025-04-20,0.02,0,2,3,2,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.22
2025-04-19,0.02,0,2,3,2,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.22
2025-04-18,0.02,0,2,3,2,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.22
2025-04-17,0.02,0,2,3,2,0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.22
2025-04-16,0.02,0,2,4,1,0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,71202430000.0,0.13,0.21000000000000002
