,-unknown-,<05,<1,<2,<5,>=5,FR,GB,JE,Market_capitalization,US,Total
2025-04-28,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-27,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-26,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-25,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-24,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-23,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-22,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-21,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-20,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-19,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-18,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-17,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-16,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-15,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-14,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-13,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-12,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-11,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-10,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-09,0.0,1,1,0,0,1,3.33,1.71,0.0,5707300000.0,0.0,5.04
2025-04-08,0.0,1,1,0,0,1,3.4,1.78,0.0,5707300000.0,0.0,5.18
2025-04-07,0.0,1,1,0,0,1,3.4,1.77,0.0,5707300000.0,0.0,5.17
2025-04-06,0.0,1,1,0,0,1,3.4,1.77,0.0,5707300000.0,0.0,5.17
2025-04-05,0.0,1,1,0,0,1,3.4,1.77,0.0,5707300000.0,0.0,5.17
2025-04-04,0.0,1,1,0,0,1,3.4,1.77,0.0,5707300000.0,0.0,5.17
2025-04-03,0.0,1,1,0,0,1,3.53,1.77,0.0,5707300000.0,0.0,5.3
2025-04-02,0.0,1,1,0,0,1,3.6,1.77,0.0,5707300000.0,0.0,5.37
2025-04-01,0.0,1,1,0,0,1,3.6,1.83,0.0,5707300000.0,0.0,5.43
2025-03-31,0.0,1,1,0,0,1,3.6,1.82,0.0,5707300000.0,0.0,5.42
2025-03-30,0.0,1,1,0,0,1,3.6,1.82,0.0,5707300000.0,0.0,5.42
2025-03-29,0.0,1,1,0,0,1,3.6,1.82,0.0,5707300000.0,0.0,5.42
2025-03-28,0.0,1,1,0,0,1,3.6,1.82,0.0,5707300000.0,0.0,5.42
2025-03-27,0.0,1,1,0,0,1,3.61,1.82,0.0,5707300000.0,0.0,5.43
2025-03-26,0.0,1,1,0,0,1,3.61,1.82,0.0,5707300000.0,0.0,5.43
2025-03-25,0.0,1,1,0,0,1,3.57,1.82,0.0,5707300000.0,0.0,5.39
2025-03-24,0.0,1,1,0,0,1,3.57,1.82,0.0,5707300000.0,0.0,5.39
2025-03-23,0.0,2,0,0,0,1,3.57,1.75,0.0,5707300000.0,0.0,5.32
2025-03-22,0.0,2,0,0,0,1,3.57,1.75,0.0,5707300000.0,0.0,5.32
2025-03-21,0.0,2,0,0,0,1,3.57,1.75,0.0,5707300000.0,0.0,5.32
