Industry,DE,FR,IT
Agricultural Inputs,6.1,,
Building Materials,0.6,,
Chemicals,0.9,,
Other Industrial Metals & Mining,,0.6,
Specialty Chemicals,2.05,1.2,
Steel,0.25,7.2,
Advertising Agencies,,0.61,0.0
Broadcasting,0.56,1.95,0.0
Electronic Gaming & Multimedia,,3.86,0.0
Entertainment,0.0,0.68,0.4
Internet Content & Information,0.0,,
Telecom Services,1.04,,1.62
Apparel Manufacturing,15.33,,1.01
Apparel Retail,,2.52,
Auto Manufacturers,0.3,1.42,1.82
Auto Parts,0.97,6.36,0.51
Footwear & Accessories,1.1,,0.06
"Furnishings, Fixtures & Appliances",0.0,0.0,0.0
Gambling,,0.68,
Home Improvement Retail,,0.61,
Internet Retail,1.23,,
Leisure,,1.68,0.0
Lodging,,0.61,
Luxury Goods,,2.52,0.71
Recreational Vehicles,1.9,0.61,0.0
Restaurants,11.78,1.23,
Specialty Retail,,0.0,
Textile Manufacturing,,,0.0
Travel Services,6.27,,
Beverages—Wineries & Distilleries,,0.24,2.38
Food Distribution,,,0.0
Grocery Stores,,0.99,
Household & Personal Products,0.5,,
Oil & Gas E&P,,0.0,
Oil & Gas Equipment & Services,,0.14,6.92
Oil & Gas Integrated,,0.7,
Oil & Gas Refining & Marketing,,0.9,
Asset Management,0.54,0.0,0.46
Banks—Regional,0.0,0.0,0.71
Capital Markets,0.0,,
Credit Services,3.21,3.74,0.52
Financial Data & Stock Exchanges,0.0,,
Insurance—Diversified,,,0.59
Insurance—Reinsurance,,0.36,
Biotechnology,1.99,0.66,
Diagnostics & Research,,0.59,0.88
Drug Manufacturers—General,0.0,,
Drug Manufacturers—Specialty & Generic,0.17,0.59,
Health Information Services,1.01,,
Medical Care Facilities,0.0,0.48,
Medical Devices,0.0,,0.0
Medical Distribution,0.0,,3.7
Medical Instruments & Supplies,0.91,0.0,0.0
Aerospace & Defense,1.54,,0.01
Airlines,2.6,0.69,
Airports & Air Services,2.5,,
Building Products & Equipment,,0.0,0.0
Business Equipment & Supplies,,,0.51
Conglomerates,3.3,0.0,0.0
Consulting Services,,0.0,
Electrical Equipment & Parts,2.45,0.0,0.55
Engineering & Construction,0.0,0.19,1.21
Farm & Heavy Construction Machinery,0.7,,1.63
Integrated Freight & Logistics,0.53,,
Marine Shipping,0.0,,
Metal Fabrication,1.58,,
Pollution & Treatment Controls,,,0.0
Railroads,0.51,0.52,
Rental & Leasing Services,0.0,,
Specialty Business Services,,1.33,
Specialty Industrial Machinery,0.51,0.0,2.29
Staffing & Employment Services,1.31,,
Waste Management,,0.0,
REIT—Diversified,,0.0,0.0
REIT—Retail,,0.38,
Real Estate Services,0.89,,0.57
Real Estate—Development,0.0,,
Real Estate—Diversified,1.59,1.48,
Communication Equipment,0.91,2.82,
Computer Hardware,,,0.0
Consumer Electronics,0.0,,
Electronic Components,0.64,,0.68
Electronics & Computer Distribution,,0.0,0.0
Information Technology Services,1.78,0.09,0.13
Scientific & Technical Instruments,,,0.0
Semiconductor Equipment & Materials,3.62,1.27,
Semiconductors,0.14,0.0,0.0
Software—Application,0.0,1.09,
Software—Infrastructure,,2.06,1.12
Solar,8.54,,
Utilities—Diversified,0.5,0.0,1.52
Utilities—Regulated Electric,,,0.0
Utilities—Regulated Gas,,,0.76
Utilities—Renewable,1.2,0.0,1.08
