,-unknown-,<05,<1,<2,<5,>=5,CA,CH,FR,GB,IE,IT,Market_capitalization,NL,US,Total
2025-05-05,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-05-04,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-05-03,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-05-02,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-05-01,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-30,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-29,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-28,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-27,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-26,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-25,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-24,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-23,0.05,17,4,2,1,0,0.0,0.0,0.05,0.3,0.0,0.0,70586640000.0,0.06,0.14,0.6000000000000001
2025-04-22,0.05,16,5,2,1,0,0.0,0.0,0.05,0.31,0.0,0.0,70586640000.0,0.06,0.14,0.6100000000000001
2025-04-21,0.05,15,6,2,1,0,0.0,0.0,0.05,0.32,0.0,0.0,70586640000.0,0.06,0.14,0.6200000000000001
2025-04-20,0.05,15,6,2,1,0,0.0,0.0,0.05,0.32,0.0,0.0,70586640000.0,0.06,0.14,0.6200000000000001
2025-04-19,0.05,15,5,3,1,0,0.0,0.0,0.05,0.33,0.0,0.0,70586640000.0,0.06,0.14,0.6300000000000001
2025-04-18,0.05,15,5,3,1,0,0.0,0.0,0.05,0.33,0.0,0.0,70586640000.0,0.06,0.14,0.6300000000000001
2025-04-17,0.05,15,5,3,1,0,0.0,0.0,0.05,0.33,0.0,0.0,70586640000.0,0.06,0.14,0.6300000000000001
