,-unknown-,<05,<1,<2,<5,>=5,AE,CA,FR,GB,HK,IE,JE,KY,Market_capitalization,NL,US,Total
2025-05-08,0.0,0,7,3,3,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.12,0.25
2025-05-07,0.0,0,7,3,3,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.12,0.25
2025-05-06,0.0,0,7,3,3,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.12,0.25
2025-05-05,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22999999999999998
2025-05-04,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22999999999999998
2025-05-03,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22999999999999998
2025-05-02,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22999999999999998
2025-05-01,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22999999999999998
2025-04-30,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22999999999999998
2025-04-29,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22999999999999998
2025-04-28,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.22
2025-04-27,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.22
2025-04-26,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.22
2025-04-25,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.22
2025-04-24,0.0,0,7,3,3,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.22
2025-04-23,0.0,0,7,3,3,0,0.0,0.02,0.01,0.08,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.22
2025-04-22,0.01,0,7,3,3,0,0.0,0.02,0.01,0.08,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.22
2025-04-21,0.01,0,7,2,4,0,0.0,0.02,0.01,0.08,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.22
2025-04-20,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.24000000000000002
2025-04-19,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.24000000000000002
2025-04-18,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.24000000000000002
2025-04-17,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.24000000000000002
2025-04-16,0.01,0,6,3,4,0,0.0,0.02,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.23
2025-04-15,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.24000000000000002
2025-04-14,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.1,0.24000000000000002
2025-04-13,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.25
2025-04-12,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.25
2025-04-11,0.01,0,6,3,4,0,0.0,0.02,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.25
2025-04-10,0.01,0,6,2,5,0,0.0,0.03,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.26
2025-04-09,0.01,0,6,2,5,0,0.0,0.03,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.26
2025-04-08,0.01,0,6,2,5,0,0.0,0.03,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.26
2025-04-07,0.01,0,6,2,5,0,0.0,0.03,0.01,0.1,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.26
2025-04-06,0.01,0,5,3,5,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.25
2025-04-05,0.01,0,5,3,5,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.25
2025-04-04,0.01,0,5,3,5,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.25
2025-04-03,0.01,0,4,5,4,0,0.0,0.03,0.01,0.08,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.11,0.24
2025-04-02,0.01,0,3,5,5,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.12,0.26
2025-04-01,0.01,0,3,6,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,188055860000.0,0.0,0.12,0.26
2025-03-31,0.01,0,3,6,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-30,0.01,0,3,6,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-29,0.01,0,3,6,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-28,0.01,0,3,6,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-27,0.01,0,3,6,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-26,0.0,0,3,5,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,185105860000.0,0.0,0.12,0.25
2025-03-25,0.0,0,3,5,4,0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.0,185105860000.0,0.0,0.12,0.25
2025-03-24,0.0,0,3,4,5,0,0.0,0.03,0.01,0.09,0.0,0.01,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-23,0.0,0,3,4,5,0,0.0,0.03,0.01,0.09,0.0,0.01,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-22,0.0,0,3,4,5,0,0.0,0.03,0.01,0.09,0.0,0.01,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-21,0.0,0,3,4,4,1,0.0,0.03,0.01,0.09,0.0,0.01,0.0,0.0,185105860000.0,0.0,0.12,0.26
2025-03-20,0.0,0,3,5,3,1,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.0,185105860000.0,0.0,0.12,0.24
2025-03-19,0.0,0,3,5,3,1,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.0,185105860000.0,0.0,0.12,0.24
2025-03-18,0.0,0,3,5,3,1,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.0,185105860000.0,0.0,0.13,0.25
2025-03-17,0.0,0,3,5,3,1,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.13,0.25
2025-03-16,0.0,0,3,5,3,1,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.13,0.25
2025-03-15,0.0,0,3,5,3,1,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.13,0.25
2025-03-14,0.0,0,3,5,3,1,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.13,0.25
2025-03-13,0.0,0,3,5,3,1,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.13,0.25
2025-03-12,0.0,1,3,5,3,1,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.13,0.25
2025-03-11,0.0,1,3,4,3,1,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.09,0.20999999999999996
2025-03-10,0.0,1,3,4,3,1,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.09,0.22
2025-03-09,0.0,0,3,5,3,1,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.09,0.22
2025-03-08,0.0,0,3,5,3,1,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.09,0.22
2025-03-07,0.0,0,3,5,3,1,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.0,185105860000.0,0.0,0.09,0.22
