LEI,Name,DE_name,FR_name,IT_name,Entity_status,Registration_status,Conformity_flag,Legal_country,Legal_region,Legal_address,Legal_lat,Legal_lng,HQ_country,HQ_region,HQ_address,HQ_lat,HQ_lng,Legal_form_code,Legal_form_name,Parent,Registration_date,Selectable,Record_retrieved
549300CTKKI0FKNCD259,12 WEST CAPITAL MANAGEMENT LP,,12 WEST CAPITAL MANAGEMENT LP,,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-DE,"WILMINGTON, 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,T91T,Limited Partnership,,8/23/2011,,4/18/2025
549300134OXN7HOQQG69,A.R.T. INTERNATIONAL HOLDINGS (BVI) LTD.,,A.R.T. INTERNATIONAL HOLDINGS (BVI) LTD.,,ACTIVE,ISSUED,NON_CONFORMING,VG,,"Road Town, C/O Maples Corporate Services (BVI) Limited Kingston Chambers PO Box 173 Tortola",18.4286115,-64.6184657,US,US-NY,"New York, 28 Liberty Street 6th Floor",40.7080058,-74.0090761,6EH6,company limited by shares,,1/16/2007,,4/18/2025
2138008YI4H2EFMDNK81,ABACO ASSET MANAGEMENT LLP,,,ABACO ASSET MANAGEMENT LLP,INACTIVE,RETIRED,NOT_APPLICABLE,GB,GB-LND,"LONDON, SECOND FLOOR 105 PICCADILLY",51.5053551,-0.1459692,GB,GB-LND,"LONDON, SECOND FLOOR 105 PICCADILLY",51.5053551,-0.1459692,Z0EY,Limited Liability Partnership,,6/27/2017,,4/18/2025
969500ARP5K4E1MVRE95,ABC ARBITRAGE ASSET MANAGEMENT,,ABC ARBITRAGE ASSET MANAGEMENT,,ACTIVE,ISSUED,CONFORMING,FR,,"PARIS, 18 RUE DU QUATRE SEPTEMBRE",48.8697016,2.3359615,FR,,"PARIS, 18 RUE DU QUATRE SEPTEMBRE",48.8697016,2.3359615,K65D,SA à conseil d'administration (s.a.i.),969500IZ7E6B3QVX2I11,12/15/2003,,4/18/2025
-000-,ABC ARBITRAGE ASSET MANAGEMENT SA,,,ABC ARBITRAGE ASSET MANAGEMENT SA,,,,,,,,,,,,,,,,,,,
-001-,ABC ARBITRAGE SA,ABC ARBITRAGE SA,,,,,,,,,,,,,,,,,,,,,
RQTOM0CI0L1JQEIRRN40,ACADIAN ASSET MANAGEMENT LLC,ACADIAN ASSET MANAGEMENT LLC,ACADIAN ASSET MANAGEMENT LLC,ACADIAN ASSET MANAGEMENT LLC,ACTIVE,ISSUED,CONFORMING,US,US-DE,"Wilmington, C/O Corporation Service Company 251 Little Falls Drive",39.7611478,-75.6226616,US,US-MA,"Boston, 260 Franklin Street",42.3569802,-71.0540018,HZEH,Limited Liability Company,,11/7/2007,,4/18/2025
254900TFNO6U9PBDZJ82,ACTUSRAYPARTNERS LIMITED,ACTUSRAYPARTNERS LIMITED,ACTUSRAYPARTNERS LIMITED,ACTUSRAYPARTNERS LIMITED,ACTIVE,ISSUED,CONFORMING,HK,,"Hong Kong, Room 6-8, 40F, Lee Garden One 33 Hysan Avenue Causeway Bay",22.2784388,114.1847145,HK,,"Hong Kong, Room 6-8, 40F, Lee Garden One 33 Hysan Avenue Causeway Bay",22.2784388,114.1847145,254M,Si ren gu fen you xian gong si,,10/23/2019,,4/18/2025
5493001H46UI6IMAZE58,"ADAGE CAPITAL MANAGEMENT, L.P.",ADAGE CAPITAL MANAGEMENT L.P.,"ADAGE CAPITAL MANAGEMENT, L.P.",ADAGE CAPITAL MANAGEMENT L.P.,ACTIVE,ISSUED,CONFORMING,US,US-DE,"DOVER, C/O COGENCY GLOBAL INC. 850 NEW BURTON ROAD SUITE 201",39.1487234,-75.5303148,US,US-DE,"DOVER, 850 NEW BURTON ROAD SUITE 201",39.1484521,-75.5305646,T91T,Limited Partnership,,4/19/2001,,4/18/2025
-002-,ADELPHI CAPITAL,,,ADELPHI CAPITAL,,,,,,,,,,,,,,,,,,,
549300LNYKT3CP3PML94,ADELPHI CAPITAL LLP,ADELPHI CAPITAL LLP,ADELPHI CAPITAL LLP,,ACTIVE,ISSUED,CONFORMING,GB,,"London, 197 High Street Kensington",51.4997726,-0.1960996,GB,,"London, 197 High Street Kensington",51.4997726,-0.1960996,Z0EY,Limited Liability Partnership,,3/10/2004,,4/18/2025
-003-,AEW GLOBAL ADVISORS (EUROPE) LIMITED,AEW GLOBAL ADVISORS (EUROPE) LIMITED,,,,,,,,,,,,,,,,,,,,,
2221009AB8S6I2B2QQ47,AFFM S.A.,,AFFM S.A.,,ACTIVE,ISSUED,CONFORMING,LU,LU-LU,"LUXEMBOURG, Boulevard Royal 3",49.6143228,6.1299287,LU,LU-LU,"LUXEMBOURG, Boulevard Royal 3",49.6143228,6.1299287,5GGB,Société anonyme,,1/15/2018,,4/18/2025
549300LPS48DJ96NXT15,AHL PARTNERS LLP,AHL PARTNERS LLP,AHL PARTNERS LLP,AHL PARTNERS LLP,ACTIVE,ISSUED,CONFORMING,GB,,"London, Riverbank House 2 Swan Lane",51.5097933,-0.088711,GB,,"London, Riverbank House 2 Swan Lane",51.5097933,-0.088711,Z0EY,Limited Liability Partnership,,12/11/2012,,4/18/2025
549300GYSZWLTTW4DO43,"AILANTHUS CAPITAL MANAGEMENT, LP",,"AILANTHUS CAPITAL MANAGEMENT, LP",,ACTIVE,LAPSED,NON_CONFORMING,US,US-DE,"WILMINGTON, C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST",39.7484301,-75.5477307,US,US-NY,"New York, 61 Broadway Suite 2825",40.7070853,-74.0125526,T91T,Limited Partnership,,7/20/2017,,4/18/2025
213800WDBIZ3Z4RO9H48,AIRAIN LIMITED,AIRAIN LIMITED,AIRAIN LIMITED,,ACTIVE,ISSUED,CONFORMING,KY,,"GEORGE TOWN, C/O HSM CORPORATE SERVICES LTD. 68 FORT STREET, PO BOX 31726",19.2967691,-81.3807491,KY,,"GEORGE TOWN, C/O HSM CORPORATE SERVICES LTD. 68 FORT STREET, PO BOX 31726",19.2967691,-81.3807491,OSBR,company limited by shares,,8/31/2017,,4/18/2025
-004-,AIRAIN LTD,AIRAIN LTD,,,,,,,,,,,,,,,,,,,,,
5493003D7KPWY66LE158,AKO CAPITAL LLP,AKO CAPITAL LLP,AKO CAPITAL LLP,AKO CAPITAL LLP,ACTIVE,ISSUED,CONFORMING,GB,,"London, One Newman Street",51.5162773,-0.1344196,GB,,"London, One Newman Street",51.5162773,-0.1344196,Z0EY,Limited Liability Partnership,,4/5/2005,,4/18/2025
213800A5CUWSROO6GV75,ALBAR CAPITAL LIMITED,,ALBAR CAPITAL LIMITED,ALBAR CAPITAL LIMITED,ACTIVE,ISSUED,CONFORMING,GB,GB-LND,"LONDON, FIFTH FLOOR 39 DOVER STREET",51.5083366,-0.1423498,GB,GB-LND,"LONDON, FIFTH FLOOR 39 DOVER STREET",51.5083366,-0.1423498,H0PO,Private Limited Company,,7/6/2017,,4/18/2025
-005-,ALBAR CAPITAL LTD.,ALBAR CAPITAL LTD.,,,,,,,,,,,,,,,,,,,,,
-006-,ALBAR CAPITAL PARTNERS LLP,ALBAR CAPITAL PARTNERS LLP,,,,,,,,,,,,,,,,,,,,,
-007-,ALBERTA INVESTMENT MANAGEMENT CORPORATION,ALBERTA INVESTMENT MANAGEMENT CORPORATION,,,,,,,,,,,,,,,,,,,,,
-008-,ALDEN GLOBAL CAPITAL LIMITED,ALDEN GLOBAL CAPITAL LIMITED,,,,,,,,,,,,,,,,,,,,,
549300U0VWLFYU03O546,ALDEN GLOBAL CAPITAL LLC,,ALDEN GLOBAL CAPITAL LLC,,ACTIVE,LAPSED,NON_CONFORMING,US,US-DE,"WILMINGTON, C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST",39.7484301,-75.5477307,US,US-NY,"New York, 34th Floor 885 Third Avenue",40.7579525,-73.9685436,HZEH,Limited Liability Company,,12/13/2012,,4/18/2025
